ia_id	source	building	place	period	element	value	unit	value_m	leaf	printed_page	evidence	verified_full_res	quote
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — bower (thalamus, women's apartment)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	22 ft	ft	6.706	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — bower (thalamus, women's apartment)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	16 ft	ft	4.877	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — bower (thalamus, women's apartment)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to ridge-tree	18 ft	ft	5.486	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — bower (thalamus, women's apartment)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, floor to tie-beams	9 ft	ft	2.743	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — bower (thalamus, women's apartment)	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height, tie-beams to ridge-tree	9 ft	ft	2.743	n164	130	documentary-survey	yes	consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The "house" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — ox-house	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	33 ft	ft	10.058	n164	130	documentary-survey	yes	Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — ox-house	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	12 ft	ft	3.658	n164	130	documentary-survey	yes	Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — ox-house	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height	13 ft	ft	3.962	n164	130	documentary-survey	yes	Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — sheep-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	39 ft	ft	11.887	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — sheep-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	12 ft	ft	3.658	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — sheep-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height	22 ft	ft	6.706	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — lamb-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal length	24 ft	ft	7.315	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — lamb-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	internal breadth	12 ft	ft	3.658	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Kensworth manor house — lamb-cote	Kensworth, Bedfordshire (hist. Hertfordshire)	XIIc	height	12 ft	ft	3.658	n165	131	documentary-survey	no	also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Walton manor house — great barn	Walton (manor of St Paul's)	XIIc	internal length	168 ft	ft (= 10 1/2 perches of 16 ft)	51.206	n166	132	documentary-survey	yes	the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Walton manor house — great barn	Walton (manor of St Paul's)	XIIc	internal breadth	53 ft	ft (= 3 perches + 5 ft)	16.154	n166	132	documentary-survey	yes	the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Walton manor house — great barn	Walton (manor of St Paul's)	XIIc	height, floor to ridge-tree	33 ft 6 in	ft in	10.211	n166	132	documentary-survey	yes	the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Walton manor house — great barn	Walton (manor of St Paul's)	XIIc	height, floor to tie-beams	21 ft 6 in	ft in	6.553	n166	132	documentary-survey	yes	the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Walton manor house — great barn	Walton (manor of St Paul's)	XIIc	height, tie-beams to ridge-tree	12 ft	ft	3.658	n166	132	documentary-survey	yes	the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	internal length	165 ft	ft	50.292	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	internal breadth	43 ft	ft	13.106	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	height, floor to ridge-tree	30 ft	ft	9.144	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	height, floor to tie-beams	15 ft	ft	4.572	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	height, tie-beams to ridge-tree	15 ft	ft	4.572	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	structural bay length	15 ft	ft	4.572	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	arcade pillar section, larger face	14 in	in	0.356	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
evolutionenglis00addygoog	Addy, The Evolution of the English House (1898)	Gunthwaite Hall barn — aisled timber barn (nave + two aisles)	Gunthwaite, near Penistone, South Yorkshire	medieval, extant	arcade pillar section, smaller face	9 in	in	0.229	n166	132	measured	yes	A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors.
