family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
tower	tower / curtain arrow loop	setting-out of the lower widening (entaille): sight points a,b struck 0.03 m apart, lines aD and bC drawn from them	0.03	m	0.030	m	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"" (formula footnoted ""Des remparts d’Avignon"")"	AB étant l’ouverture intérieure de la meurtrière ; CD l’ouverture que l’on a voulu donner à l’entaille, prenant les points a b à une distance de 0 m , 03 ; de ces points ab on a tiré les deux lignes a D , b C .
tower	tower / curtain arrow loop	loop foot form by date: triangular widening to mid-XIIIc, square thereafter; cross-pattée slot from mid-XIVc	triangular -> square (mid XIIIc)	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"""	Ces entailles sont primitivement triangulaires ; vers le milieu du XIII e siècle, elles deviennent carrées, ainsi que nous le verrons tout à l’heure.
tower	tower-flanked bastion, underground counter-mine gallery (Coucy, porte de Laon, late XVc)	clear width of the semicircular barrel-vaulted loopholed gallery	1.20	m	1.200	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 11"	Ce bastion, dont l’ensemble est donné en A ( 11 ), possède à sa base, à 1 m ,00 environ au-dessus du fond du fossé, une galerie voûtée en berceau plein-cintre de 1 m ,20 de largeur.
tower	tower-flanked bastion, underground counter-mine gallery (Coucy, porte de Laon, late XVc)	gallery floor level above the ditch bottom	1.00	m	1.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Meurtrière"", fig. 11"	Ce bastion, dont l’ensemble est donné en A ( 11 ), possède à sa base, à 1 m ,00 environ au-dessus du fond du fossé, une galerie voûtée en berceau plein-cintre de 1 m ,20 de largeur.
tower	tower and curtain wall-head (general)	merlon thickness	0.38 to 0.58	m	0.480	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Chemin de ronde"""	Les merlons étant posés sur le parement extérieur des murailles, et ayant une épaisseur qui variait de 0,38 c. à 0,58 c. (14 à 21 pouces), il restait en dedans du rempart un couronnement de maçonnerie que l’on recouvrait de dalles et qui formait le chemin de ronde.
tower	tower and curtain wall-head (general)	merlon plan position: set flush on the outer face of the wall, so the wall-walk is the residue of the wall thickness	0 (flush with outer face)	m	0.000	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Chemin de ronde"""	Les merlons étant posés sur le parement extérieur des murailles, et ayant une épaisseur qui variait de 0,38 c. à 0,58 c. (14 à 21 pouces), il restait en dedans du rempart un couronnement de maçonnerie que l’on recouvrait de dalles et qui formait le chemin de ronde.
tower	wall-walk (chemin de ronde) on tower and curtain	minimum clear width rule: two men abreast, obtained by corbelling the paving inward when the wall is thin	2 men abreast (minimum)	count		non-length (count)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Chemin de ronde"""	Lorsque le mur n’avait qu’une épaisseur médiocre, le dallage du chemin de ronde débordait à l’intérieur, afin de suppléer à la maçonnerie et de permettre à deux hommes, au moins, de passer de front.
tower	wall-walk (chemin de ronde) on tower and curtain	vertical access topology: Carolingian = frequent flights straight from the terreplein; from XIIc = only through the towers and their stairs	tower stairs only, from XIIc	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Chemin de ronde"""	Pendant la période carlovingienne, les chemins de ronde des remparts étaient mis en communication directe avec le terre-plain intérieur au moyen d’emmarchements assez rapprochés. Plus tard, à partir du XII e siècle, on ne pouvait généralement circuler sur les chemins de ronde qu’en passant par les tours et les escaliers qui desservaient leurs étages.
tower	tower and curtain wall-head (Carcassonne château, c.1100)	merlon height above the wall-walk	1.60 to 1.80	m	1.700	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	Les merlons des tours et courtines du château de Carcassonne (1100 environ) sont hauts (1 m ,60 à 1 m ,80) ; les trous de hourds sont espacés régulièrement, autant que le permet la courbe des tours ou les dispositions intérieures
tower	tower and curtain wall-head (Carcassonne château, c.1100)	putlog arrangement, XI-XIIc double-hole system: four holes pierced right through under each merlon jamb — two just below the crenel sill, two at wall-walk level	4 holes per merlon jamb	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 1"	sous leurs pieds-droits sont percés, tout à travers, quatre trous : deux un peu au-dessous de l’appui des créneaux, deux au niveau du chemin de ronde.
tower	tower and curtain wall-head, hoarding (XIIIc single-row system)	putlog socket, square, pierced at wall-walk level	0.30 x 0.30	m	0.300	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	On renonça aux trous doubles, on se contenta d’un seul rang de larges trous carrés (0,30 c. × 0,30 c. environ) percés au niveau des chemins de ronde
tower	tower and curtain wall-head, hoarding (XIIIc single-row system)	oak cantilever joist, square section (équarrissage)	0.30	m	0.300	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	et, en effet, une pièce de bois de chêne de 0,30 c. d’équarrissage, fût-elle de trois mètres en bascule, peut porter un poids énorme.
tower	tower and curtain wall-head, hoarding (XIIIc single-row system)	cantilever length a 0.30 m oak joist will carry (stated capacity, not a measured build)	3.00	m	3.000	m	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	et, en effet, une pièce de bois de chêne de 0,30 c. d’équarrissage, fût-elle de trois mètres en bascule, peut porter un poids énorme.
tower	tower and curtain wall-head, hoarding (XIIIc single-row system)	hoarding projection beyond the wall face (upper bound, one toise)	1.95 (rarely more)	m	1.950	first number, unit column (m)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	Or les hourds avaient rarement plus de 1 m ,95 c. de saillie (une toise).
tower	curtain wall-head, double hoarding (Carcassonne, porte Narbonnaise, Philippe le Hardi)	putlog socket, square, at the base of the battered merlons	0.30	m	0.300	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 4"	Leur base est traversée au niveau du chemin de ronde, par des trous de hourds de 0,30 c. de côté, régulièrement espacés.
tower	curtain wall-head, double hoarding (Carcassonne, porte Narbonnaise, Philippe le Hardi)	cantilever joist spacing along the wall (five pieds ≈ 1.62 m)	5 pieds (approx. 1.62 m)	ft	1.620	metric conversion in source string	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 4"	Les hourds doubles étaient donc disposés ainsi : de cinq pieds en cinq pieds passaient par les trous de hourds les fortes solives C
tower	curtain wall-head, double hoarding (Carcassonne, porte Narbonnaise, Philippe le Hardi)	floor-to-floor of the two-deck hoarding: second row of moises set 1.80 m above the first	1.80	m	1.800	m	documented-reconstruction	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 4"	Un second rang de moises, posé en L , à 1 m ,80 du premier rang, formait l’enrayure des arbalétriers M du comble.
tower	great donjon, hoarding on stone corbels (Coucy, Enguerrand III, 1220-1230)	number of stone hoarding corbels around the cylinder	48	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 6"	ils ont établi, tout autour de l’énorme cylindre, quarante-huit consoles de pierre de 1 m ,07 de saillie sur 0,30 c. d’épaisseur, pour asseoir le hourdage
tower	great donjon, hoarding on stone corbels (Coucy, Enguerrand III, 1220-1230)	stone hoarding corbel projection	1.07	m	1.070	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 6"	ils ont établi, tout autour de l’énorme cylindre, quarante-huit consoles de pierre de 1 m ,07 de saillie sur 0,30 c. d’épaisseur, pour asseoir le hourdage
tower	great donjon, hoarding on stone corbels (Coucy, Enguerrand III, 1220-1230)	stone hoarding corbel thickness (width)	0.30	m	0.300	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 6"	ils ont établi, tout autour de l’énorme cylindre, quarante-huit consoles de pierre de 1 m ,07 de saillie sur 0,30 c. d’épaisseur, pour asseoir le hourdage
tower	great donjon, hoarding on stone corbels (Coucy)	each corbel built up of two courses	2 courses per corbel	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 6"	En B , on voit l’une des consoles formées de deux assises chacune.
tower	great donjon (Coucy)	height of the hoarding foot above the counterscarp of the ditch	40	m	40.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"""	Le pied des hourds de ce donjon célèbre, le plus grand de tous ceux que possède l’Europe, est à 40 mètres au-dessus de la contrescarpe du fossé.
tower	great donjon (Coucy)	height of the hoarding corbel course above the ditch bottom	46	m	46.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 7"	Nous avons tenu à nous rendre compte de la manière de poser ces hourds, à une hauteur de 46 mètres au-dessus du fond du fossé, sur des consoles isolées en contre-bas des crénelages.
tower	great donjon roof platform (Coucy)	platform layout: wide circular wall-walk ringing a twelve-panel lead-covered flat pavilion vault with a central eye	12 panels + central oculus	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"" (referring to ""Donjon"", figs. 38-39)"	Cette plate-forme se compose d’un large chemin de ronde circulaire, pourtournant une voûte à douze pans revêtue de plomb et formant un pavillon plat, au centre duquel est percé un œil.
tower	round tower wall-head, hoarding	plan rule: hoarding of a round tower is polygonal, because putlog holes, crenels and loops are always pierced at equal spacing round the circumference	polygonal, equal spacing	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 5"	Le hourdage d’une tour ronde se trouvait former un plan polygonal à plus ou moins de côtés, suivant que la circonférence de la tour était plus ou moins étendue, car les trous de hourds sont toujours, comme les créneaux et meurtrières, percés à distances égales.
tower	round tower wall-head, hoarding	talus rule governing machicolation position: the batter dies at the level of the counterscarp crest, so a machicolation at the tower face (B) is needed once the ditch is filled and one at the guard-planks (C) while it is not	talus top = counterscarp crest	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Hourd"", fig. 5"	les bases des tours (comme celles des courtines) sont montées en talus, sauf de rares exceptions. Le talus finissait ordinairement au niveau de la crête de la contrescarpe du fossé.
tower	town-wall angle tower (Nuremberg, Dürer-era remodelling)	external diameter, measured 5 m above ground on a battered wall	20 (approx.), taken 5 m above ground	m	5.000	first measure in prose (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tour"", fig. 36"	Ces tours ont environ 20 mètres de diamètre à 5 mètres du sol, sont bâties en fruit par assises de grès dur, avec bossages en bas et près du sommet.
tower	town-wall angle tower (Nuremberg, Dürer-era remodelling)	ground-floor plan rule: vaulted chamber set eccentric so that the masonry stays very thick on the outer side; a square eye in the vault links ground floor to first floor	eccentric chamber, mass to the outside	rule		non-length (rule)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tour"", fig. 36"	Au rez-de-chaussée elles possèdent une chambre voûtée, mais tracée de manière à laisser à la maçonnerie une épaisseur considérable du côté extérieur
tower	square keep-tower as an isolated post (Lesparre)	area of the whole château outside the square tower	700	m2		non-length (m2)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tour"""	il faut citer la tour carrée du château de Lesparre , qui était un réduit couronné par une plate-forme sur voûte, un véritable poste, car la surface de ce château en dehors de la tour carrée n’est que de 700 mètres.
tower	turret-flanked gate front (Palais des Papes, Avignon)	height of the machicolation arcade above ground, carrying a crenellated wall-walk with a second crenellation behind	15	m	15.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Tourelle"""	Cette façade se compose d’une suite d’arcs percés de mâchicoulis à la hauteur de 15 mètres au-dessus du sol, et portant un chemin de ronde crénelé, en arrière duquel le mur de face s’élève jusqu’aux combles et porte un second crénelage
tower	corbelled angle turret (tourelle)	counterweight rule for the cul-de-lampe: the quarter-plan nopq bearing on the stone angle must load at least as much as the three-quarters nst overhanging, leaving a void v closed by a scrap of boarding — the void mistaken for a deliberate hiding place	1/4 bearing >= 3/4 overhang	rule		non-length (rule)	author-rule	"Viollet-le-Duc, Dictionnaire raisonné, ""Tourelle"", fig. 5"	La naissance du cul-de-lampe était placée en n , et assez bas pour que la charge du quart du plan nopq , posant sur l’angle de pierre, fût équivalente au moins à la charge nst des trois quarts du cul-de-lampe en porte-à-faux. À cet effet, il était laissé en v un vide que l’on recouvrait avec un bout de plancher. C’est ce vide que l’on prend, dans les tourelles anciennes où il existe, pour des cachettes préméditées
tower	sentry turret (échauguette) on a donjon (Provins)	interior capacity of each of the four roofed turrets crowning the keep	1 man each	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Échauguette"""	Nous voyons quatre belles échauguettes couronnant le donjon de Provins (voy. Donjon , fig. 27 et suivantes) ; celles-ci étaient couvertes et ne pouvaient contenir chacune qu’un homme.
tower	sentry turret (échauguette), general type	interior capacity of the closed guard-post type	2 to 3 soldiers	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Échauguette"""	Quelquefois l’échauguette est un petit poste clos capable de renfermer deux ou trois soldats, comme un corps de garde supérieur.
tower	sentry turret (échauguette) over a stair cage (Chambois donjon, Orne, XIIIc over a XIIc stair)	interior capacity and fittings: vaulted, a small window to the country, a fireplace, a shelf beside it, terrasson above formerly crenellated	4 men	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Échauguette"", fig. 1"	Voici ( 1 ) l’aspect intérieur de ce poste, qui peut contenir quatre hommes. Il est voûté et surmonté d’un terrasson autrefois crénelé. Une petite fenêtre donnant sur la campagne l’éclaire ; une cheminée permet de le chauffer
tower	sentry turret (échauguette) on a curtain (Villeneuve-lès-Avignon citadel)	interior capacity and plan: interrupts the wall-walk, two doors, one crenel with an outward view, a small fireplace	2 to 3 men at most	count		non-length (count)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Échauguette"", figs. 12-13"	En A est le chemin de ronde interrompu par l’échauguette et ses deux portes B ; un seul créneau C a vue sur l’extérieur ; en D est une petite cheminée. Deux ou trois hommes au plus pouvaient se tenir dans ce poste
tower	sentry turret (échauguette) on buttresses	width of the concealed second machicolation slot, cut in the wall spanning between the two buttresses	0.25 (approx.)	m	0.250	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Échauguette"", fig. 9"	au droit du mur faisant fond entre les contre-forts, est pratiqué un second mâchicoulis C , comme une rainure de 0,25 c. de largeur environ
hall_manor	great hall, priory refectory type (Dover Priory, Kent, 1139)	wall thickness	3 ft 6 in	ft-in	1.067	ft-in	measured	Turner, Some Account of Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n146	It measures exter- nally 107 feet by 34 feet, and the walls are 3 feet 6 inches in thickness.
hall_manor	great hall, priory refectory type (Dover Priory, Kent)	room length x width (interior) and wall height to roof springing	100 x 27 ft interior; walls 26 ft high to springing	ft	30.480	first measure in prose (ft)	measured	Turner, Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n146	The interior measures 100 feet by 27 feet, and the walls to the springing of the roof are 26 feet high, and are plastered. It has evidently never been divided by a floor, but has always been open from the floor to the roof as at present.
hall_manor	great hall, priory refectory type (Dover Priory, Kent)	window sill height (blank dado zone above floor)	12 ft 6 in blank	ft-in	3.810	first measure in prose (ft in)	measured	Turner, Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n146	The lower part of the wall to the height of 12 feet 6 inches is entirely blank, and appears never to have had any opening through it, except the doorway at the south- west angle
hall_manor	vaulted undercroft chamber, urban hostelry (Priors of Lewes, Southwark)	wall thickness	3 ft 3 in	ft-in	0.991	ft-in	measured	Turner, Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n163	The walls were 3 ft. 3 in. thick. The pillars and arches were of wrought stone, a mixture of fire-stone and Kentish rag ; the vault was entirely chalk, 9 in. thick
hall_manor	vaulted undercroft chamber, urban hostelry (Priors of Lewes, Southwark)	room length x width x height	40 ft 3 in x 16 ft 6 in x 14 ft 3 in high	ft-in	12.268	first measure in prose (ft in)	measured	Turner, Domestic Architecture in England vol 1 (IA someaccountofdom00turn) leaf n163	The vaulted chamber formed a parallelogram of 40 ft. 3 in., by 16 ft. 6 in., and 14 ft. 3 in. high, the vaulted roof being supported by arches springing from six semi- circular pillars attached to the side walls ; these pillars were 5 ft. 10 in. high, including the capitals and base.
hall_manor	manor house, ashlar-faced (Norborough Hall, Northamptonshire)	wall thickness (external)	2 ft to 2 ft 6 in	ft-in	0.610	first measure in prose (ft)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n408	The external walls are from 2 ft. to 2 ft. 6 in. thick, with well-finished ashlar facing.
hall_manor	tower-house / fortified manor (Dacre Castle, Cumberland)	wall thickness (basement storey)	more than 8 ft	ft	2.438	first measure in prose (ft)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n338	it is barrel vaulted, and divided into two rooms lighted by small windows at the front and back, and having fire-places ; the walls are extremely thick, being more than 8 feet.
hall_manor	tower-house / fortified manor (Dacre Castle, Cumberland)	room length x width (mural chamber inside the wall thickness)	8 ft 6 in x 7 ft	ft-in	2.591	first measure in prose (ft in)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n343	between this and the fire-place is a small bed-room 8 ft. 6 in. by 7 ft., entirely in the thickness of the wall.
hall_manor	tower-house (Tattershall Castle, Lincolnshire)	wall thickness	some 12 ft	ft	3.658	first measure in prose (ft)	measured	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n96	Each floor consisted of one large room about 38 ft. by 22 ft., supplemented by small chambers in three of the turrets, and by one or two others in the walls, which are some 12 ft. thick.
hall_manor	Norman keep / hall-in-keep (general)	wall thickness	seldom less than 8 ft, sometimes 16 to 20 ft	ft	2.438	first measure in prose (ft)	author-rule	Gotch, The Growth of the English House (IA growthofenglishh00gotc) leaf n21	These are all outside measurements, and as the walls were very thick, seldom less than 8 ft, and sometimes as much as 16 or 20 ft., the available space within them was much less than their total area.
hall_manor	manoir, timber-framed with entresols (Viollet-le-Duc, art. Manoir)	storey height, hall (grande salle, floor to ceiling)	4.30 m	m	4.300	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	La grande salle R avait entre le plancher et le plafond 4m,30 de hauteur, et chacun des étages entresolés 2m,30 environ
hall_manor	manoir, timber-framed with entresols (Viollet-le-Duc, art. Manoir)	storey height, entresolled storeys	2.30 m each	m	2.300	first measure in prose (m)	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	L'étage entrésolé 2m,30 — Épaisseur du plancher 30 — L'entresol 2m,30 — Épaisseur du plancher 30 — Hauteur de la grande salle 4m,30 — Poutres et corbeaux 60 — Solivages 30
hall_manor	manoir, timber-framed with entresols (Viollet-le-Duc, art. Manoir)	floor (plancher) thickness	0.30 m	m	0.300	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	L'étage entrésolé 2m,30 — Épaisseur du plancher 30 — L'entresol 2m,30 — Épaisseur du plancher 30
hall_manor	manoir, timber-framed with entresols (Viollet-le-Duc, art. Manoir)	beam depth (poutres et corbeaux over the hall)	0.60 m	m	0.600	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	Hauteur de la grande salle 4m,30 — Poutres et corbeaux 60 — Solivages 30
hall_manor	manoir, timber-framed with entresols (Viollet-le-Duc, art. Manoir)	joist depth (solivages)	0.30 m	m	0.300	m	documented-reconstruction	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	Poutres et corbeaux 60 — Solivages 30 — L'escalier à vis N montait du sol de la grande salle au chemin de ronde défendu par un parapet crénelé.
hall_manor	manoir, ground storey (Viollet-le-Duc, art. Manoir)	storey height, ground floor (sol to plafond)	2.65 m maximum	m	2.650	first measure in prose (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, article 'Manoir'	Ce rez-de-chaussée du sol au plafond n'a pas plus de 2m,65.
hall_manor	border pele tower / tower-house (Northumberland, Parker vol 2 leaf n316)	storey height, ground floor (vault crown) and first floor	12 ft to top of vault arch; first floor 10 ft 8 in high	ft-in	3.658	first measure in prose (ft)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n316	On the ground floor is a vaulted apart- ment, 12 ft. in height to the top of the arch, and 27 ft. 10 in. long, by 15 ft. 6 in. in width. ... This leads to the first floor 10 ft. 8 in. high ; it is divided into two rooms now used for bed-rooms
hall_manor	border pele tower / tower-house (Northumberland, Parker vol 2 leaf n316)	door opening width (entrance passage) and stair diameter	passage 4 ft 6 in wide; newel stair 5 ft 8 in diameter	ft-in	1.372	first measure in prose (ft in)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n316	The entrance is by a passage on the north side, the width of which is 4 ft. 6 in. This passage was secured by a door of great strength. ... a few steps lead, by an easy ascent, to a newel stair- case 5 ft. 8 in. in diameter, and lighted by three narrow loop-holes.
hall_manor	tower-house great chamber (Prudhoe Castle, Northumberland)	room length x width x storey height (first storey chief apartment)	43 ft x 21 ft 6 in x nearly 17 ft high	ft-in	13.106	first measure in prose (ft)	measured	Turner/Parker, Domestic Architecture in England vol 2 (IA someaccountofdom00park_0) leaf n320	On the east side of the first story is the chief apartment, 43 ft. long by 21½ ft. broad, and nearly 17 ft. in height ; it has a chimney in it, and is lighted on the north and south by two large windows of two lights, each with transoms.
hall_manor	Tudor royal great hall (Hampton Court Palace, Middlesex, 1531-3)	vault span / roof span, and storey heights to hammer-beam and apex	span about 40 ft; floor to hammer-beams about 41 ft; floor to apex about 60 ft	ft	12.192	first measure in prose (ft)	measured	Garner & Stratton, Domestic Architecture of England during the Tudor Period v.1 (IA gri_33125010766489) leaf n130 / printed p.113	In the transverse section (Fig. 130) the form of the hammer-beam truss is shown: the span is about 40 feet, the height from floor to hammer-beams about 41 feet, and to apex about 60 feet; the hall, 106 feet long, is divided into seven bays
hall_manor	Tudor royal great hall (Hampton Court Palace, Middlesex)	bay spacing (hall divided into seven bays over 106 ft)	106 ft long in seven bays	ft	32.309	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n130 / printed p.113	the hall, 106 feet long, is divided into seven bays, the main trusses connected longitudinally by arches and most of the roof visible from below treated as an inner curved ceiling.
hall_manor	Tudor great chamber over/beside a hall (Great Watching Chamber, Hampton Court)	room length x width x height	71 x 29 ft, about 25 ft high	ft	21.641	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n130 / printed p.113	Formerly Wolsey's hall, it measures 71 feet long and 29 feet wide, and is now about 25 feet high, lighted by windows high in the wall and by the semicircular oriel window shown on Plate CXLV.
hall_manor	royal/episcopal great hall (Eltham Palace, Kent)	bay spacing (principals along the hall)	about 17 ft apart; five principals plus two against the end walls	ft	5.182	first measure in prose (ft)	measured	Garner & Stratton, Tudor Period v.1 (IA gri_33125010766489) leaf n232 / printed p.217	There are five principals, spaced about 17 feet apart, in addition to the two against the end walls, the hall being about 101 feet long and 36 feet 3 inches wide. The louvre was over the third bay from the upper end
