axis	value	evidence	note
DATING CAVEAT	provincial style lags; do not date by style outside metropolitan centres	stated p.58	'fashions penetrated so slowly in the past, that it is impossible, without great local knowledge, to predicate the date of any work from its style, where the style is not indigenous.' Cites Icelandic carving still resembling the Bayeux Tapestry within living memory.
one smith's oeuvre	fourteen important surviving specimens, plausibly one craftsman's tour	stated p.82	Eaton Bray and Turvey (Beds), Norwich, Tunstall, Windsor, Oxford, Lichfield, York, Chester, Westminster - grouped by plausible travel, with Westminster needing 'a special journey'.
era_shift	heat confined to preliminary stages; the greater part of the work done by file and saw or by embossing	stated p.115	Verbatim: "Heat was now applied only in the preliminary stages, and the greater part of the work was accomplished by the file and saw, or by embossing the iron". Hedged — "the greater part", not all. The book never uses the word "cold"; that is an inference. p.115 prints no folio (chapter-opening page); the page number is fixed by the Contents entry and the "116" running head on the next leaf.
era_shift	carving the object from the solid is reserved for the top tier only	stated p.115	"when the highest realms of art were reached, by carving the statuette or other decorative object from the solid" — a tier marker, not a routine finishing step.
era_shift	direct forge and hammer products largely excluded from the design	stated p.115	"The direct productions of the forge and hammer were seldom admitted into the design." Licenses a different surface vocabulary for 15th-16th c. props: crisp filed arrises, saw-cut piercing, sunk and chased detail, no hammer scale or fire-welded lumps.
era_shift	the locksmith needs construction, planning, and the arts of the armourer and jeweller	stated p.115	Same page: to be accomplished it "was requisite to understand construction and planning, and to be an adept in the arts of the locksmith, the armourer, and the jeweller". OCR-derived line, not image-verified.
lock_construction	sheet iron becomes the general material	stated p.115	"The use of sheet iron became general" — the sentence straddles the p.115/116 break and p.116 back-refers to "This use of sheet iron".
lock_construction	hinges built of several thicknesses of sheet iron, pierced to represent tracery, riveted together in strong frames	stated p.116	Verbatim and image-verified. Emit lattice member and cell filler as separate meshes with separate materials.
lock_construction	layer count 1 to 3-4 superimposed pierced sheets, as a joint richness and date axis	stated p.116	Exemplar of a single thickness given: the guichet in the south choir aisle at Chartres, "pierced in only one thickness"; "increasing richness of design soon demanded the use of three or four sheets of piercing superimposed". Scoped to France, 15th c.
lock_construction	top tier is NOT laminated sheet: crockets, pinnacles and leading lines chiselled and filed from solid iron in full relief	stated p.117	Verbatim, image-verified: pierced sheet-work "plays but a very subordinate part". CORRECTION APPLIED — the earlier claim called the pierced sheet a "backing"; the book does not say that, and the word has been dropped. Scope is comparative ("all these grander works") and tied to the Rouen and Evreux examples, not to medieval ironwork generally.
lock_construction	small work outranks large: locks and knockers reach a refinement "hardly surpassed by the contemporary work in gold and silver"	stated p.117	Quality hierarchy runs opposite to size. Useful for deciding where to spend polygon and texture budget.
lock_construction	assembly model is joinery in iron	stated p.128	"the caps, bases, mouldings, crockets, and cusps are chased out of the solid, and tenoned, morticed, and riveted together as in joinery. Depth and richness are given by using one thickness upon another, over a background of saw-pierced sheet iron". The best assembly spec in the chapter and the direct explanation of fig 45.
lock_construction	rim-lock anatomy: front plate, back plate, bolts, latches	stated p.119	Front plate "more or less decorated with scroll-work"; back plate, by which the lock is fastened to the door, "extended beyond the lock, and cut into leaves, animals' heads, fleurs-de-lis, and other forms". The extended-and-cut back plate is the shaped silhouette seen in figs 49 and 51. Rim-locks richly ornamented "as early as the thirteenth century".
lock_construction	master-keys with tracery handles and innumerable wards	stated p.119	The only warding reference in the chapter, and it is a count, not a geometry.
lock_construction	mechanism deliberately conceals bolts and keyholes	stated p.118	"their mechanism is careful, concealing bolts and key-holes with great skill" — explains why not one figure in chapter V shows a bolt, ward, hasp or shackle.
lock_construction	pierced-and-applied tracery panels pinned by small rivet clips over a plain backplate	figure leaf 142	Fig 45: three discrete panels, each pinned by four clips of 3-4 rivet dots at the quarter points, with the border cable visible between panels.
lock_construction	"splayed" lock type — plate flaring to its base on concave ogee sides	stated p.137; figure leaves 146, 149	The book's own type name, applied explicitly in the p.137 paragraph illustrated by figs 49-51 ("The splayed locks peculiar to Germany were often treated thus"). Extending it to fig 48 is an inference from silhouette, not a quotation.
lock_construction	keyhole forms: plain round eye with tapering triangular slot; cruciform/anchor slot for a cross-warded key	figure leaves 142, 150	Fig 45 plain, fig 51 cruciform with a round hole at the foot. The keyhole silhouette is itself a typology signal.
lock_construction	buttress-shaped hasp, rude and uniform, on the Brabançon export boxes	stated p.127	"uniformly rude and ill-designed buttress-shaped hasp and decoration; this identity rendering it probable that they were produced in one centre and abundantly exported". The only hasp description in the chapter.
lock_construction	French sheet-iron coffer recipe: strapped, trunk-curved lid, stacked pierced panels, buttress projections of two or three stages, angle buttresses lengthened into legs	stated p.119	"formed of thin pierced metal plates laid over each other with great neatness, with projecting pieces shaped like buttresses of two or three stages, those at the angles being lengthened into legs on which the casket stands"; "all were painted and gilt". Close of the 14th c.
sheathed_door	two-part system: straps forming the lattice, pierced-and-embossed plates filling the interspaces	stated p.139; figure leaves 152-156	The book's own vocabulary — "lining entire doors with pierced and embossed plates and straps of iron" — maps directly onto the generator split.
sheathed_door	period term for the lattice member: "banded iron"; nails "shaped into rosettes"	stated p.140	Confirmed by eye in fig 54, where each flat bar is edged on both margins by a cable/rope-twist bead.
sheathed_door	painted-ground variant: charges painted on the woodwork between iron straps	stated p.142; figure leaf 154	"sometimes merely painted on the woodwork between the iron straps". Cheap iron, rich paint.
sheathed_door	embossed-iron variant: armorials "splendidly embossed in iron"	stated p.142; figure leaf 156	Krems. Same lattice generator, different cell filler.
sheathed_door	non-repeating plate designs require a grammar, not a library	stated p.140; figure leaf 153	"few of the designs being repeated". Bruck's economics are the inverse of the other three doors.
sheathed_door	lattice angle is a genuine variable, not always 45 degrees	figure leaves 152, 153, 154, 156	Scan-derived: about 45deg at Cracow, 46deg (treat as 45) at Karlstein, 50.9deg at Bruck, 54.3deg at Krems. Band width as a fraction of crossing pitch varies far more: 0.16 Karlstein, 0.17 Bruck, 0.25 Cracow (of perpendicular spacing), 0.38 Krems.
sheathed_door	nail placement is diagnostic: crossings bare at Cracow, rosette at every crossing at Bruck and Karlstein	figure leaves 152, 153, 154	Cracow: ring nail at every plate centre, quatrefoil at every segment midpoint, crossings bare. Bruck: identical rosette at both crossings and midpoints. Karlstein: whirl at every crossing, cross-in-roundel rows along the straps.
sheathed_door	border band sweeps continuously round rounded shoulders; the repeat bends along the arc, no corner block, no mitre	figure leaf 152	Contrast fig 45's lock border, where the cable direction reverses at each corner.
sheathed_door	clipping rule: iron is cut hard at the edge, painted charges are re-fitted to partial cells	figure leaves 152, 154	Cracow's diaper is simply clipped by the arch curve; Karlstein's bottom half-lozenges contain compressed but complete eagles and lions.
sheathed_door	Karlstein border nail sequence is period-3: whirl, cross, cross, with a whirl at each corner	figure leaf 154	Verified along a 900 px strip. Two nail types only, plus the field studs.
sheathed_door	Krems double checkerboard plus a mid-height subject swap	figure leaf 156; stated p.142	Boss-at-crossing versus figure-in-interspace; griffin versus arms within the interspaces above; imperial eagles and lions below. Four figure plates and one boss cover the whole door.
sheathed_door	tabernacle-door variant uses RECTANGULAR interstices, filled with carved tracery, filigree, or pierced and embossed subjects	stated p.142	"The main bars were always massive, though often almost wholly concealed by pierced foliage and arabesques". Fig 57 (located only) is the example; its subjects are "taken, in part at least, from the New Testament".
sheathed_door	the diaper family is said to derive from Belgian and German trellised tabernacle-door grilles, enriched eastward with rosettes at the bar intersections	stated p.142	Gardner's own transmission account for this family, offered without documentary support — treat as his hypothesis.
architectural_miniaturisation	"the effects of wood and stone are produced in iron in miniature"	stated p.126	OCR-derived, not image-verified. Attributed to the combined smith, clockmaker and architect bringing "the more precise, cultivated, and elaborated tools of the mechanician" to bear.
architectural_miniaturisation	the design basis of all these locks is "the flamboyant architecture of the period"	stated p.118	Image-verified. So the lock generator should be driven by a tracery generator, not by an ornament library.
architectural_miniaturisation	full miniature-building vocabulary occurs on a single lock plate	figure leaf 146	Fig 48: dentil/battlement cap, arcaded gallery of about seven bays, crocketed gablets, pendant leaf frieze, moulded string courses, four pinnacled buttress strips, crocketed ogee gables, ranks of about six cusped lancets, a transom band of quatrefoils-in-square. At 18 inches overall the lancets scale to roughly 6-8 mm.
architectural_miniaturisation	miniature guichets: "most exquisite little circular guichets filled with flamboyant tracery of a great variety of design"	stated p.126	OCR-derived. St Pierre, Louvain. A small round tracery-panel asset with high variation, fitted to armoire doors.
architectural_miniaturisation	Gardner treats the transposition of wood and stone forms into iron as the CAUSE of decline	stated p.94	OCR-derived: the East sent "the wave of fashion which required the smith to produce in iron the wood lattice and the pierced marble window, forms proper to wood and stone, by which his art declined". This is an aesthetic verdict, not evidence; see oriental_influence.
surface_finish	pierced and slightly embossed sheet-iron, brightly TINNED, laid over RED cloth or paper	stated p.137	The single most useful material line in the chapters: "in which the iron was brightly tinned and laid over red cloth or paper. The splayed locks peculiar to Germany were often treated thus, as in the Rathhaus of Cologne, of Bingen, and elsewhere on the Rhine." Two materials, not one monochrome metal. "Sea-weed-looking" is the author's own term for the arabesque of fig 51.
surface_finish	gilding is the default, not an option	stated pp.116, 119, 125, 128, 129, 134, 140	Windsor group: "The whole was originally gilt" (p.128, image-verified). French coffers: "all were painted and gilt" (p.119). Bare dark iron is the wrong default for this material class.
surface_finish	gilt iron over lozenge grounds painted alternately red and blue	stated p.142	"The ground of the lozenges was painted alternately red and blue, so that the general effect was like gold lace on a scarlet-and-blue chequer." Bruck. A two-tone cell colour is a cheap, high-impact texture parameter.
surface_finish	Karlstein tinctures fully specified	stated p.142	"the black eagle of Austria on gold alternates with the silver lion of Bohemia on red. The iron straps are fixed by well-modelled nails, and decorated with gold-and-black rosettes." Directly usable material values.
surface_finish	door-linings "illuminated in black and white, red and blue, and profusely gilded"	stated p.140	OCR-derived. Palette spec for the whole door-lining family.
surface_finish	embossing height is a variable independent of pattern density, and high relief tends to regularise the layout	stated p.138	OCR-derived: Nuremberg hinges "embossed to an unusual height, and assuming, as frequently happens, an almost geometric arrangement". A useful coupling rule.
surface_finish	NEGATIVE FINDING: no etching and no cast iron anywhere in chapter V	keyword scan leaves 126-155	The finishing processes named are gilding, tinning (p.137 only) and painting or illuminating in colour. "Cast" appears only for plaster casts held by the South Kensington Museum. Do not give 15th-16th c. ironwork assets an etched or cast finish on this book's authority.
technique_verb	file, saw, chisel	stated pp.115, 117, 126, 128	The core locksmith triad. p.126 (OCR) adds "produced works by aid of the file, saw, and chisel on the grandest scale".
technique_verb	vandyked (deeply zigzag-indented) edges, produced by punching and filing	stated p.116; p.110	p.116, image-verified: the St Bertin (St Omer) door plates are "horizontal and overlapping" with "edges vandyked in exactly the same pattern as the plate armour then worn"; Auxerre's hinges are "long straps with thin vandyked edges". p.110 gives the process: bands "punched and filed into key-borders, crenelations, or vandyked edgings" — subtractive. CORRECTION APPLIED: Gardner asserts identical pattern and contemporaneity with plate armour, NOT that the smith copied armour; "copied from" was an inference and has been withdrawn. He also never defines "vandyked" — the zigzag gloss is modern.
technique_verb	interlaced hoop-iron door bands fixed by "rosettes or decorated nails", with lozenge interstices filled by sheet ornament	stated p.116	Image-verified. This is the ancestor of the fig 53-56 lattice systems. Note the nail statement is made of the band type generally, not specifically of the vandyked St Bertin plates.
technique_verb	incised lines, twisted and notched mouldings	stated p.119	Three cheap, tileable edge treatments for bars and mouldings. Instances: the nicked chamfer on fig 50's top edge, the cable border of fig 45, the cable-edged bands of fig 54.
technique_verb	embossing, and chasing "as if in silver"	stated pp.115, 118	p.118, image-verified: the figures of saints and kings, masks, and escutcheons of arms are "chiselled out of solid iron and chased as if in silver".
technique_verb	stamping belongs to the earlier French school, not to the locksmith tier	stated pp.100, 112, 114	OCR-derived. Stamped leafy terminations, stamped heads and rosettes, stamped rosettes used as nail-heads; p.114 says German architectural ironwork designs were "entirely based on the rich stamped work of France". Keep stamping for 13th-14th c. assets and file/saw/chisel for 15th-16th c.
technique_verb	pouncing, piercing and lining of broad surfaces and edges	stated p.109	OCR-derived, on door-handles: "their broad surfaces and edges being pounced, pierced, lined". Adds pouncing (dot punching) to the vocabulary — visible in the dot rows of figs 45, 49 and 50.
vocabulary	vizzying / guichet — small viewing wicket in a door	stated pp.116, 126, 128, 129	p.129, image-verified: "On the south door of the ambulatory is a 'vizzying,' or guichet, a square escutcheon, and a handle-plate in form of a rose window surrounded by the Garter".
vocabulary	escutcheon; handle-plate; back-plate	stated pp.119, 129, 132	The door-furniture set that ships alongside a lock. German specialities include "tracery back-plates" (p.132).
vocabulary	wattle border / iron wattlework (Flemish)	stated p.130	OCR-derived; the figure (fig 46) is located only, not examined.
vocabulary	banded iron; nails shaped into rosettes	stated p.140	The lattice member and nail type of the sheathed-door family.
vocabulary	diploma work — a guild qualification masterpiece	stated p.132	Image-verified. The legitimate name for a hero prop.
vocabulary	corona; herse-light; pricket	stated pp.124, 134	OCR-derived. Corona = a hanging light ring; prickets are the candle spikes.
vocabulary	brattishing, crocket, cusp, transom, lancet, ogee	stated p.128 (crockets, cusps) and inferred elsewhere	Only "crockets, pinnacles, mouldings, caps, bases, cusps" are the book's words (p.128). The rest of the architectural terms used in the figure notes are standard modern descriptive vocabulary, not Gardner's — do not cite him for them.
dating_rule	locks: best in DESIGN at the close of the fifteenth century, increasing in RICHNESS through the sixteenth	stated p.118	Verbatim and image-verified: "The best in design belong to the close of the fifteenth century, but they increase in richness during the sixteenth." Stated flatly, no hedge. Scoped by context to French and Flemish flamboyant lock-plate work. Tie a richness slider to date: restrained and well-composed = c.1480-1500, over-loaded = 16th c.
dating_rule	Germany: the thistle enters from the beginning of the sixteenth century and ousts the vine	stated p.135	OCR-derived: "for a century no ironwork of any pretension was forged in Germany into the composition of which the thistle did not enter." Vine up to c.1500, thistle c.1500-1600. Figs 49, 50 and 51 are thistle-derived and so read 16th c. by this rule, while fig 48 (pure tracery, no thistle) reads 15th.
dating_rule	late-thistle markers: leaves take a definite cruciform shape and keep it to the end; in extreme degeneration only cross-hatching survives "the last trace of the calyx"	stated pp.137, 139	Two generator flags: leaf_shape = cruciform (late) and calyx = crosshatch_only (very late). The stippled cross-hatched calyx is visible on both thistle heads of fig 49.
dating_rule	trellis threading topology: oldest German work threads all bars of one direction through the other; the later, more ponderous Magdeburg door of 1495 threads them alternately	stated p.143	OCR-derived but the sentence is clean: Cologne and Aix-la-Chapelle for the older form.
dating_rule	bar section: fifteenth-century trellis is made "with square instead of round iron"	stated pp.143-145	The sentence runs across the fig 57 page: p.143 ends "in being made with square instead" and p.145 opens "of round iron. It seems as if the German smiths were already courting difficulties in order to display their skill." Square = 15th c., round = the familiar work of a century later.
dating_rule	Austrian door-linings: none older than the fifteenth century, and the custom outlasted the arrival of Renaissance architecture	stated p.139	OCR-derived. Cracow examples "the latter half of the fifteenth century"; Krems and its relatives at Carinthia and Steier "towards the close of the fifteenth century" (p.142).
dating_rule	the Passion-flower type belongs to the Renaissance, not the Gothic	stated p.145	OCR-derived. Fully developed form is "a spindle-shaped coil of wire for the pistil, with elongated hammer-shaped stamens, and slender recurved petals", elaborated out of the twelfth-century fleur-de-lis. Do not put it on a 15th-c. asset.
regional_practice	Flemish and Brabançon locks, handles and door-knockers are "sturdier and plainer than the French"	stated p.129	Image-verified. Bar thickness up, detail count down.
regional_practice	German traceried work: delicate tracery, coarse architecture	stated p.132	"while the tracery is delicate, the buttresses and pinnacles are intolerably coarse." Detail count up, moulding refinement down. Three presets over one generator: French (both refinements up), Flemish (plainer and heavier), German (denser and coarser).
regional_practice	German specialities: open tracery handles "of Saracenic outline", tracery back-plates, and intertwining leafless branching handles	stated p.132	OCR-derived. "Leafless branching" is a distinct stem grammar from the leafy thistle scroll. Treat "Saracenic outline" as Gardner's shorthand for a look, not a provenance claim.
regional_practice	the trellis diaper is "as distinctive of German smithing as the thistle"	stated p.143	OCR-derived, and adds a transmission claim: "evidently first borrowed by Belgium from the sparse examples of England and France".
regional_practice	door-linings of pierced and embossed plates and straps are an Austrian, Bohemian and Polish speciality	stated p.139	OCR-derived. The four sheathed doors are all from this zone (Cracow, Bruck on the Mur, Karlstein, Krems).
regional_practice	the pierced-sheet lamination recipe is scoped to France and the fifteenth century	stated pp.115-116	Same passage says the English smith "had ceased to lead the way, and fashioned little but the rudest work", while the French smith "assimilated the methods and skill of the locksmith and armourer to his own". Do not apply it pan-European.
trade_organisation	guild qualification piece: the 18-inch Maria-Saal lock-plate "is regarded as having been a diploma work"	stated p.132; figure leaf 146	Image-verified. Gives the social category for a showpiece asset, and the only hard lock dimension in the chapters.
trade_organisation	a trade corporation commissioned and donated major church ironwork	stated p.134	OCR-derived: the corona made by Gert Bulsinck of Vreden in 1489 was "presented to the church by the Corporation of Locksmiths" — two pierced sheet-iron bands carrying canopied niches with figures of saints and a candle in front of each, a gilded wood Virgin under a wrought canopy at the centre, two kneeling figures above.
trade_organisation	combined trades in one person: smith, clockmaker and architect	stated pp.122, 126	OCR-derived. Josse Matsys of Louvain was municipal architect, clockmaker and blacksmith; his son Quentin (b.1466) is the painter. p.126 links the combination directly to the precision of the work.
trade_organisation	uniform design across exported goods used to infer a single production centre	stated p.127	Image-verified reasoning about the Brabançon boxes: "this identity rendering it probable that they were produced in one centre and abundantly exported". A period-appropriate way to justify asset reuse across a map region.
trade_organisation	named hands to chase	stated pp.121, 122, 134, 137	A. F. Butsch (the richest pierced-thistle locks, Soyter Collection and the chapel at Blutenbourg near Munich, p.137, image-verified); Gert Bulsinck of Vreden (1489 corona, p.134); Josse Matsys of Louvain, Antwerp well-cover dated 1470 (p.122); Jean de Cuyper, Mechlin market rails, 1531 (p.121).
trade_organisation	1893 collectors' market value, not a period price	stated p.118	"over £1000 has been paid for a single specimen." Evidence of Victorian valuation only — do not use as a medieval price.
oriental_influence	Gardner's thesis, as a chapter title: "The Transition, due to Oriental Influence in the Fourteenth Century"	stated p.93 and Contents	The causation is built into the book's structure, so it cannot be quietly ignored when citing chapter IV.
oriental_influence	claimed transfer of TOOLS and PROCESSES from the East	stated p.94	OCR-derived: "From the East the smith learnt to use the file and saw, and the sumptuous arts of graving, inlaying with gold and silver, damascening and embossing" (OCR prints "gravmg"). Asserted; no object, workshop, treatise or craftsman is cited in support.
oriental_influence	claimed transfer of FORMS: iron grilles as strength-copies of pierced Saracenic marble	stated p.95	OCR-derived: "The first attempts consist of a few grilles, copies (for the sake of strength) in iron of the pierced marble so extensively used in Saracenic archit[e]cture; and, emanating from our instructors in geometry, they are naturally geometric in design." Named examples: St Anastasia's, Verona and St Mark's, Venice, "probably as old as the thirteenth" century. The phrase "our instructors in geometry" shows the argument is being carried by rhetoric.
oriental_influence	the evidence offered is overwhelmingly eye-judged resemblance	stated pp.95, 105, 109	"a rich and essentially Saracenic diaper" (p.105); "It is unquestionably an Eastern design" (p.105, of the Canterbury grille contracted to Roger Johnson of London in 1428); handles "which might have been taken straight from the mosque" (p.109). No dated intermediate objects, no documented imports, no craftsman movements.
oriental_influence	one genuinely evidential datum, and it proves contact rather than design transmission	stated p.111	OCR-derived: a plate at Rendcombe, Gloucestershire "has Arabic numerals and figures engraved upon it, presenting their supposed earliest use in any work connected with building". Note "supposed". Numerals travel with notation and commerce; they do not demonstrate that the ornament was copied from Islamic sources.
oriental_influence	one supporting item is explicit hearsay	stated p.69	The Pamplona cloister grille (dated 1212) "is said to have been made from Moorish chains". Gardner reports it as report.
oriental_influence	Gardner undercuts his own thesis when he actually reasons about a mechanism	stated p.89	OCR-derived, on pierced sunk-work: the leaves are "beaten out thin and flat, and the sunk parts pierced right through, giving the work an entirely novel and rather Oriental effect. It is just the sort of rendering we might get from a smith, set to work from a drawing without sections, and unacquainted with the process of stamping." Here a purely local, mundane cause is offered for the very look he elsewhere attributes to the East. The strongest internal reason to treat the diffusion claim as unproven.
oriental_influence	the thesis does double duty as a value judgement	stated p.94	Credit for tools, blame for decline: the same page says the Eastern fashion required iron to imitate wood and stone forms, "by which his art declined". A 19th-century diffusionist and hierarchical frame, not a finding.
oriental_influence	usable residue for the factory	stated pp.95, 105, 109	Keep the FORMS as design-family labels and drop the causation: geometric interlace grille (Verona, Venice); the halved-and-riveted diagonal notched-strap diaper (Canterbury choir side entrance, with the same design in wood at Luxeuil); the flattened-ellipse handle ring "shaped like a crescent with the horns beaten round to join the spindle" (p.109). Do not label assets "Saracenic" or "Oriental" on this book's authority, and do not put the causal claim into asset metadata.
