book	ia_id	plate	leaf	plate_title	subject	content_type	measured	status	page_image_url	note
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Plate 15 ('Vol. 2. 15	92	Half Timbered House, at Ludlow, Shropshire - Elevation, Section, Mouldings at A	Ludlow, Salop (Shropshire) - the house at Dinham, near the Castle; dated circa 1600	orthographic elevation + transverse section + moulding detail + scale 	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n92_w1700.jpg	LANDSCAPE plate, ROTATED 90 DEGREES in the scan. Carries: 'Elevation.' (the whole two-gabled front, orthographic, fully framed out timber by timber), 'Section.' (a transverse section through the front wall showing the three jetties and the floor structures), 'Mouldings at A.' (a large-scale moulding profile), scale bar '10 5 0 | 10 FEET', printed dimensions (see below), 'F.T.Dollman, del.' MASSING AND JETTYING: three storeys - a ground floor and two above - and EVERY upper storey is jettied out over the one below (the Section is drawn precisely to show this). Text: 'The dwelling is two stories in height, in addition to the ground floor, each story as usual projecting over that below.' TWO gables of equal width, side by side, filling the whole front. FRAMING PATTERN - THE KEY POINT, and Ludlow is the richest of the six because the pattern CHANGES AT EVERY STOREY: 1. TOP STOREY (the band under the gable windows, running the entire width of the front): QUATREFOIL panels. Vertical studs at close intervals; between each pair of studs, four curved braces spring from the studs at top and bottom and meet to enclose a quatrefoil/roundel opening, and small SQUARE BLOCKS fill each of the four corner spandrels. The result reads as a continuous band of quatrefoils. Text: 'Under the windows in the gables a series of panels in the frame timbers runs along the entire front, arranged so as to resemble quatrefoils.' 2. FIRST FLOOR: main posts at wide intervals with STRAIGHT diagonal braces set in pairs, forming large V shapes and saltires beside and beneath the windows, plus a horizontal mid-rail; pegs are drawn at every joint. Text: 'the timbers on each side of the first floor windows and beneath them are disposed diagonally.' 3. GROUND FLOOR: plain vertical studs with a mid-rail (roughly square panels), two doorways with ornamental iron strap hinges of scrolled form, and two windo...
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Ewelme Plates 2 and 5	96	Ewelme - Plate 2 (plan of hospital, under master's house and grammar school) and Plate 5 (entrance porch and barge-board details) NOT LOCATED	The Hospital and Grammar School, Ewelme, Oxfordshire	measured plan (Plate 2); porch and barge-board details (Plate 5)	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n96_w1700.jpg	NOT LOCATED and NOT OPENED - recorded here as the one significant hole in this subject. The authors' own list (leaves 99-101) reads: 'Plates 1 and 2 show the entire plan of the church, the hospital, the under master's house, and the grammar school. Plate 3 has the section of the hospital from W. to E., and a perspective view of the quadrangle. Plate 4 gives el[e]vations and sections of the grammar school, with details of same. Plate 5 exhibits the entrance-porch, details of the ga[b]le barge boards in the quadrangle, and some other details.' I found Plate 1 at leaf 100 (church plan + upper-floor plan), Plate 3 at leaf 104 and Plate 4 at leaf 108. Leaf 102 is the blank verso of Plate 3, and leaf 101 is a text page. Plate 2 - the sheet that would carry the QUADRANGLE'S OWN DIMENSIONS - is therefore either at leaves 96 or 112/116, both of which I did not open; the leaf-96 lettering OCR mentions 'Plan on the line A.B.' and 'Section', which is suggestive but is confused by Penshurst plate lettering bleeding into the same OCR page. MODELLING: PRIORITY FOLLOW-UP. The Ewelme quadrangle size is the single most valuable number still missing from this subject, because the text gives no dimensions at all for the hospital itself and Plate 1's dimensioned strip covers only the west range. Plate 2 should also show the ambulatory width, the individual cell plan, and how the under master's house and the grammar school hinge onto the quadrangle at the north-west angle - the whole point of the example, which the authors praise for 'the spirit of comprehensive benevolence displayed in the arrangement of the plan, which in one group of buildings comprises provision for the public offices and ministrations of the church, the comfort of a home for the aged and needy, and the blessings of instruction for the young'.
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Plate 16 ('Vol. 2. 16	96	Half Timbered House in the Butcher Row, Shrewsbury (RESTORED) - Front Elevation and details	Butcher Row, Shrewsbury, Shropshire - medieval shop fronts, circa 1490	orthographic elevation (drawn sideways on the sheet) + large-scale det	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n96_w1700.jpg	LANDSCAPE plate, ROTATED 90 DEGREES in the scan, AND the elevation is itself drawn turned 90 degrees relative to the sheet, so the image needs two rotations to read the elevation upright while the title block reads in a different orientation. Carries: 'Front Elevation' (orthographic, marked '(RESTORED)' in the title), 'Heads of Doorways', 'Corner Post &c at A', 'Section at B.C.', 'Doorway D', 'Opening C', 'at E.F.', 'Scale of Details 1 Inch to a Foot' (= 1:12), a scale bar '10 5 0 | 10 20 30 FEET', reference letters A B C D E F. MASSING AND JETTYING: three storeys, each upper storey jettied over the one below on shaped brackets with moulded bressummers. The plate shows the left-hand end as a gabled unit (the corner of the range, where the 'Corner Post at A' detail is taken) with the range continuing to the right. GROUND FLOOR - THE DISTINCTIVE FEATURE: a continuous range of OPEN MEDIEVAL SHOP FRONTS. Each shop opening is a wide bay with a cusped ogee / four-centred TIMBER head in a moulded frame, unglazed and entirely open, separated from its neighbours by posts, with a low framed apron of vertical studs below the shop sills. Interspersed are narrower boarded doorways with similar arched heads. This is exactly what the text singles the building out for: 'the shops, the fronts of which were entirely open and unglazed, became then situate on the upper floor above the street level.' FRAMING PATTERN - THE KEY POINT, again storey-differentiated but with a different vocabulary from Ludlow: 1. FIRST FLOOR: CLOSE STUDDING - narrow vertical studs at close spacing, NO braces at all, with plaster panels between (drawn with a fine stippled/irregular texture for plaster). Windows are three-light square-headed openings in moulded frames with moulded sills carried on small brackets, sitting slightly forward of the wall face. 2. SECOND FLOOR (top storey) AND GABLE: LARGE SQUARE PA...
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Ewelme Plate 1 (engra	100	The Hospital and Grammar School, Ewelme, Oxfordshire - ground plan of the church, with 'Plan of Upper Floor from A to B on Ground Plan below'	The Hospital and Grammar School, Ewelme, Oxfordshire	measured ground plan + dimensioned upper-floor plan	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n100_w1700.jpg	Landscape folio rotated 90 degrees in the scan. The bulk of the sheet is the fully hatched measured GROUND PLAN of the church, set diagonally on the sheet, labelled: Tower, two Porches, Vestry, 'St John's Chapel', 'Church', with 'Church Yard' lettered on both sides, and section reference letters A---B and C---D marked at the sheet edges (these are the cut lines used on Plate 3's section). Wall hatching distinguishes thick medieval masonry, and buttresses, piers and font position are all drawn. ALONG THE WEST EDGE is the piece we care about most: a strip plan headed 'PLAN OF UPPER FLOOR FROM A TO B ON GROUND PLAN BELOW.' It is the master's suite over the west range of the almshouse quadrangle, and IT IS FIGURED ROOM BY ROOM. From west to east: 'Muniment Room' (small, irregular, in the thickness at the end), 'Audit Room 19' 3" x 13' 9"', then a straight flight of STAIRS drawn in a compartment of its own between rooms, then 'Sitting Room 20' 2" x 13' 9"', then 'Bed Room 19' 2" x 13' 11"', then a 'Dressing Closet' and a 'W.C' with a fixture drawn in it, the last two contrived in the thickness at the east end. Along the courtyard side of the strip runs a lower roof drawn in tile/slate hatching (the ambulatory roof beneath), and the range's outer wall is drawn markedly thicker than the internal partitions, which are hairline. PLAN LOGIC WORTH KEEPING: a two-room-plus-closets lodging is threaded along a single range one room deep, entered from a stair in the middle of the range, with the service closets squeezed into the wall thickness at the ends and the institutional room (Audit) put at the opposite end from the private ones - all inside a range whose depth is fixed at just under 14 ft. MODELLING: USE THESE AS THE CANONICAL 15th-CENTURY LODGING-ROOM SIZES. Three principal rooms of 19-20 ft x 13 ft 9 in to 13 ft 11 in - i.e. a range 14 ft deep internally and rooms roughl...
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 3	100	The Hospital and Grammar School, Ewelme, Oxfordshire (5)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n100_w1700.jpg	Text leaves 98-99. Plate run 100-113, 5 plates. The 4-leaf cadence gives only 4 slots (100, 104, 108, 112) for 5 plates, so this run DRIFTS - do not assume the cadence here. Caption bleed at leaf 108 partially reconstructs the plan description: '... yard. A [small] quadrangle, each of which [has a living room] and a bed-ro[om] ... all round th[e] ... external wal[l] ... quadrangl[e]'. MODELLING: Dated 1440. Hospital plan TYPE 3 (contiguous suite round a quadrangle, church distinct, linked by cloister). The caption fragment tells us the cell unit is a PAIR of rooms - a living room plus a bedroom - which is a richer cell than Stamford's single dormitory. Worth pinning down: cell count, cell size, cloister bay spacing.
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Ewelme Plate 3 (engra	104	The Hospital, Ewelme, Oxfordshire. Section and View of the Quadrangle	The Hospital and Grammar School, Ewelme, Oxfordshire	cross-section through the quadrangle with figured storey heights + per	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n104_w1700.jpg	Landscape folio rotated 90 degrees in the scan; righted with `sips -r 90`. Three drawings, titled at the foot 'The Hospital, Ewelme, Oxfordshire. Section and View of the Quadrangle', with a scale bar '10-5-0-10-20-30-40-50 FEET / SCALE FOR SECTION'. (a) 'Section of the Quadrangle from West to East' - the whole width of the almshouse cut through, with 'West Side of Tower of Church' drawn at the west end. This is the sheet that gives STOREY HEIGHTS. Reading the east half: a brethren's dwelling is cut open showing the ground-floor sitting room and the bed-room over, the bed-room open to a roof of arch-braced trusses with the tie/collar level lettered 'Ceiling Line'. Figured dimension lines: 8' 7 3/4" from the upper floor to the Ceiling Line; and in the ground storey a pair of lines reading 8' 4 3/4" and 7' 8 1/2". West half: the passage between church and quadrangle is cut, showing a four-centred stone doorway, a vaulted/beamed ceiling with a battlemented parapet over, and figured lines 12' 6" and 13' 8 1/2"; and a long dimension of 17' 0" dropping from the Ceiling Line of the upper (audit/master's) room to the lower ground level at the foot of a long external stair flight - the drawing shows two flights of steps descending from the church passage into the quadrangle, which is the graphic proof of the text's 'owing to the rapid fall of the ground'. (b) 'View of the Quadrangle looking East' - a perspective. Shows the ambulatory as an open oak arcade of posts with moulded caps and four-centred braces, a dwarf stone wall below the arcade, brick-nogged panels in HERRINGBONE between the oak studs of the upper wall, gabled centrepieces with traceried two-light windows and moulded barge-boards, small gabled dormers in a stone-tiled roof, and tall shafted brick/stone chimney stacks. Two figures walk in the court for scale. (c) the west side of the church tower, in elevation. ...
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Ewelme Plate 4 (engra	108	The Grammar School, Ewelme, Oxfordshire. Elevations, Section, and Details	The Hospital and Grammar School, Ewelme, Oxfordshire	two elevations + figured transverse section + window and label details	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n108_w1700.jpg	Landscape folio rotated 90 degrees in the scan. Titled at the foot 'The Grammar School, Ewelme, Oxfordshire. Elevations, Section, and Details', signed F.T. Dollman del., with a 'SCALE OF [FEET]' bar running to 50 FEET. Drawings: 'Elevation towards the Road' (the long west front - a two-storey brick range with stone-dressed square-headed two-light windows aligned in vertical pairs on both storeys, buttress-like pilasters, and a stepped/crow-stepped feature at the left end where the range meets the churchyard wall); 'End Elevation'; 'Transverse Section' (see dimensions - this is the figured one, cut through both schoolrooms with the upper room open to an arch-braced roof); 'Window D (1/2 inch Scale)' drawn large with its cinquefoiled straight-sided arched head; 'Plan at F'; 'Part of [something] full[?] inch Scale'; 'Label Terminations at E'; and small moulding details lettered 'at a', 'at b', 'at c'. A tree and the falling ground are drawn against the end elevation. The transverse section shows the ground storey ceiled flat with the floor structure expressed, and the upper storey open to the roof - matching the text: 'The building is two stories in height, the lower of which is the boys', the upper the girls' school. The roof is a good open one, with four-centred arched trusses, common rafters, moulded purlins, wind-braces, and moulded wall-plate.' MODELLING: Gives us a complete small institutional building: brick walls with stone jambs and mullions, two storeys, one room per floor, entrance porch on the north front (its wooden door being the church's former west door - a nice reuse detail), identical two-light square-headed windows repeated on both storeys of the road front, hood-mould stops carved as ANGELS BEARING SHIELDS on the two centre ground-floor windows and plain rectangular stops on all the others. That last point is a genuinely useful generator rule: orna...
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 4	116	Maybole Castle (1) + Newark Castle on the Clyde (1) + Dormer Windows from Newark, Stirling, Hagg's & Maybole (1) + Newark windows and Elgin stair turr	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n116_w1700.jpg	Text leaves 114-115. Plate run 116-131, 4 plates at predicted leaves 118, 122, 126, 130. Caption bleed at leaf 122 '[Scott]ish circular stair turret ... Vol. 2. 22. Portion of F[ront]', leaf 126 'ORIEL WINDOW', leaf 130 'STIRLING CASTLE ... NEWARK CASTLE ... HAGG'S CASTLE ... MAYBOLE CASTLE, AYR[SHIRE]'. MODELLING: Leaf 130 is a COMPARATIVE PLATE - four dated dormers from four different castles on one sheet (Stirling 1550, Newark 1620, Maybole 1620, Hagg's 1685). That is a ready-made period-graded parts family; exceptionally useful for a Scottish generator. Same for the circular stair turret at leaf 122.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 5	134	St Mary's Hospital, Chichester (3)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n134_w1700.jpg	Text leaves 132-133. Plate run 134-145, 3 plates at predicted leaves 136, 140, 144 - all three carry caption bleed. MODELLING: Hospital plan TYPE 1 and the authors' lead example of it: ALL inmates under one spacious roof, the area subdivided into small dwelling rooms, the hall communicating directly with the chapel at the far end and separated only by an open screen. Dated 1300 to 1680. Its chapel is called out as the one exception of 'geometrical Middle Pointed character' in an otherwise Third-Pointed hospital corpus. The single-great-roof-with-cells-inside type is a very distinctive silhouette and only three plates to mine.
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Holcombe Court series	146	Holcombe Court, Devon - 3 plates	Holcombe Court, Devon	porch and oriel elevation with part of the hall + a S.W. perspective v	yes	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n146_w1700.jpg	NOT OPENED. Description text at leaf 146, which also carries the engraved lettering of an adjacent plate including a scale bar '5-0-10-20-30-40-50 FEET' and the Jobbins imprint, so the plates sit immediately around leaf 146. The authors' plate list: 'Plate 1 contains the elevation of the porch and oriel, with a portion of the hall on the S. front, and various details. Plate 2 is a view taken from the S.W. angle, where the ground slopes rapidly downward from the house. Plate 3 exhibits the plaster ceiling to one of the ground floor rooms, and various sections of jambs to doors and fireplaces.' MODELLING: A dated late-medieval gentry house - the text puts it at 'quite the end of Henry the Eighth's reign, or perhaps a little later', and calls it interesting 'as exhibiting mediaeval features and detail in the latest stages of their existence', which makes it our best terminal date-marker for the medieval kit. The described front is a very clean generator template: a four-centred entrance under an ORIEL THREE STOREYS HIGH, a panel of the Bluett arms under the first-floor windows, a STAIR TURRET adjoining the porch lit by four two-light windows (i.e. one window per half turn - a way to set turret window spacing), and to the right of the entrance the hall, its windows square-headed OF SIX LIGHTS and transomed WITH BUTTRESSES BETWEEN THE WINDOWS. Two gables in that front each with a four-light square-headed window. Note also that the W wing was taken down in 1845, so the plate records a house already truncated. The plaster ceiling on Plate 3 is explicitly Elizabethan and LATER than the rest of the house - keep it out of the medieval kit. DIMENSIONS: PRINTED IN THE TEXT (leaf 146): the hall 'a spacious apartment, measuring 44 feet 6 inches by 23 feet, and two stories in height'. Plate lettering shows a scale bar to 50 FEET. The 'two stories in height' for a 23 ft wide hall ...
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 6	148	Holcombe Court, Devon (3) + Brazen Nose College Stamford entrance gateway (1)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n148_w1700.jpg	Text leaves 146-147. Plate run 148-163, 4 plates at predicted leaves 150, 154, 158, 162. MODELLING: Holcombe Court dated 1550 - a Devon manor house, and the essay specifically says the Devon/Somerset manor houses of this smaller scale were built on the hall-plus-rear-service-quadrangle plan. Good mid-size English manor target.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 7	166	The Bede House, Higham Ferrers, Northamptonshire (3)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n166_w1700.jpg	Text leaves 164-165. Plate run 166-177, 3 plates at predicted leaves 168, 172, 176. Caption bleed at 168/172 reads 'the doorwa[y] in the crypt; the outl[ine]'. The text block heading at leaf 164 mentions '[PLAST]ER CEILING AND VARIOUS DETAILS'. MODELLING: Dated 1430. Hospital plan TYPE 1 'as originally designed' - and a footnote warns 'In this instance, the internal partitions have, within comparatively few years, been entirely removed', so the plate shows a RECONSTRUCTED subdivision, not surviving fabric. Flag that if any partition dimensions are lifted. There is also a crypt, so this one has a below-ground storey.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 8	180	Old House Elgin (1) + St Andrew's Castle gateway and Old House Dundee (1) + Edinburgh doorways: the Mint, Mary of Guise's Palace, Edinburgh Castle, Sc	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n180_w1700.jpg	Text leaves 178-179. Plate run 180-195, 4 plates at predicted leaves 182, 186, 190, 194 - all four carry caption bleed. MODELLING: Another comparative sheet: four dated Edinburgh doorways on one plate (Mary of Guise's 1540, Blair's Close 1550, the Mint 1574) - a period-graded Scottish doorway family. The Old House Elgin is dated 1671, the latest dated building in the whole work.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 9	198	Blundell's School, Tiverton, Devon (3)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n198_w1700.jpg	Text leaves 196-197. Plate run 198-209, 3 plates at predicted leaves 200, 204, 208. Caption bleed at leaf 200 reads 'longitudinal [section]'. MODELLING: Dated 1604 - the latest institutional building in the corpus, and useful as the end-stop of the period ladder (what a post-medieval school range looks like once the Gothic vocabulary is fading).
dollman_v2_1863	analysisofancien02dolluoft	vol 2, Browne's Hospital ser	211	Browne's Hospital, Stamford, Lincolnshire - 4 plates	Browne's Hospital, Stamford, Lincolnshire	window and doorway on the S side of the hall; audit-room roof details;	yes	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n211_w1700.jpg	NOT OPENED. This subject's material is split: it opens volume 2 (text at leaves 28-29) and is returned to at leaf 211. Leaf 211 carries the plate list: '... consist of Plate 1, the square-headed two-light window and a doorway, on the S. side of the hall. The tracery in the windows is now blocked up ...'. The building is described as 'still tenantable and inhabited, but exhibits a general expression of desolation and neglect'. The volume 2 List of Subjects also promises furniture from Browne's Hospital on a later metalwork/furniture plate. MODELLING: Complements Ewelme as a second almshouse. The one figured room is the AUDIT ROOM, 36 ft x 21 ft, with a good oak roof then in a dilapidated state whose details are plated - so we get a second, independent audit-room size to set against Ewelme's 19 ft 3 in x 13 ft 9 in, which tells us the type spans a wide range rather than having a fixed size. The text also mentions an upper floor and a confrater's dwelling reached separately. DIMENSIONS: PRINTED IN THE TEXT (leaf 29): 'In the main building, towards Broad-street, is the audit room, 36 feet by 21 feet, which has a good oak roof in a dilapidated state'.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 10	212	Carmelite Monastery Stamford gateway (1) + Great Malvern Priory entrance gateway (1) + Norborough Hall door, window and doorways (2)	derived leaf map	plate run	yes	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n212_w1700.jpg	Text leaves 210-211. Plate run 212-227, 4 plates at predicted leaves 214, 218, 222, 226 - all four carry caption bleed. Leaf 222's bleed reads '[Str]ing Course at D. [scale] 5 10 15 20 25 30 35 ... Upper Plan ... Ground Pl[an]' and leaf 218 'GATEWAY, NOW THE INFIRMARY', leaf 226 'Front El[evation]'. MODELLING: Leaf 222 has upper AND ground plans plus a scale bar plus a named string-course profile - a complete gatehouse at two levels. Gatehouses are the entrance element of the 14th-century quadrangle plan, so this is a directly reusable module. Carmelite gateway dated 1320, Great Malvern gateway 1490 - two gatehouses 170 years apart for a period comparison. DIMENSIONS: Caption bleed shows a scale bar reading 5 10 15 20 25 30 35 on leaf 222.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 11	230	Canongate Tolbooth Edinburgh (1) + Crichton Castle arcade, doorway and detail (1) + Castle Campbell, Crichton and St Salvator's details (1) + Roslin C	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n230_w1700.jpg	Text leaves 228-229. Plate run 230-245, 4 plates at predicted leaves 232, 236, 240, 244 - all four carry caption bleed. MODELLING: Canongate Tolbooth dated 1591 - a Scottish town public building with, per the text-block headings, an entrance gateway plus window and door details. The two arcades (Castle Campbell 1450, Crichton 1550) give a Scottish courtyard-arcade vocabulary, which the essay says is characteristically circular/segmental rather than pointed.
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 12	248	Fireplace in one of the Canons' Residences, Ely (1) + Old Oak Panelling (3) + Spicer's Hall Bristol entrance porch, doorway and roof of hall (2)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n248_w1700.jpg	Text leaves 246-247. Plate run 248-271, 6 plates at predicted leaves 250, 254, 258, 262, 266, 270. Caption bleed across 254-270 is Spicer's Hall prose: 'the 13th century, corbels, apparently to support the roof, exist in the wall on each side; this may possibly have been the Chapel ... Beyond this is another passage, at the end of which is a court yard, now occupied by warehouses, but which probably formed a portion [of]'. MODELLING: Spicer's Hall, Bristol, dated 1350, is the earliest MERCHANT house in the corpus and the only one with its hall roof drawn - the merchant-house-with-hall type is the town equivalent of the manorial hall and is exactly what a medieval city street needs. The 3 plates of 'Old Oak Panelling' are dated 1500 and described in the chronological list as FOREIGN - flag that: do not use them as English interior panelling without noting the authors call them foreign.
dollman_v2_1863	analysisofancien02dolluoft	vol 2, plate 'Vol. 2.52.' (O	254	Oak Panels. Half full size.	OLD OAK PANELLING - 3 plates (list of subjects, vol 2 leaf 10). Description text: 'OLD PAN	measured ornament plate: two carved oak panels in face view with print	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n254_w1700.jpg	LANDSCAPE FOLIO PLATE, ROTATED 90 DEGREES in the scan; rotated 90 CW to read. Two panels, each drawn complete in its frame, at 'Half full size'. PANEL A (upper in the scan): 1 ft 0 in x 7 3/4 in, set in a plain oak frame drawn with the grain. The carving is a PARCHEMIN / linenfold-family design: the field is filled with long parallel ribbed flutes whose upper ends terminate in cusped, pointed panel heads (a row of small lancet/ogee heads, like miniature blind tracery), arranged in horizontal registers; through the middle of the panel runs a pair of crossing curved stems that swell into a lozenge at the crossing; hung on those stems are four flower CUPS drawn as fluted trumpet/bell shapes (lily or bluebell heads) plus a central horizontal bud. Left and right of the field the frame is a plain flat with a moulded inner edge. PANEL B (lower in the scan): 1 ft 2 3/8 in on its long axis, in a similar frame. Same fluted-and-cusped-head ground, but the centre is occupied by a large ROUNDEL containing an interlaced monogram of ribbon letters (this is one of the 'sacred monogram' panels the text mentions); at the left is a bud/pomegranate boss on a stem; at the right end is a separately framed SQUARE containing a saltire (X) of double-ribbed bands with a quatrefoil rosette at the crossing - a repeat motif that recurs on plate 3. MOULDING SECTIONS: at the right edge of the plate (in the scan) two profiles labelled 'Section at A.B.' and 'Section at C.D.' are given at 'Full Size.' Both are stepped/ribbed profiles: a series of small square steps and V-cuts, which is exactly how the cusped panel heads and the ribbed flutes are cut. These are the only full-size mouldings in the panelling set. MODELLING: Panelling is pure tiling, and this plate gives the tile AND its section. The repeating unit is a single framed panel roughly 7 3/4 in wide x 12 in high (plate 1) - so the wall grid...
dollman_v2_1863	analysisofancien02dolluoft	vol 2, plate 'Vol.2.53. Pl.2	258	Oak Panels. Half full size.	OLD OAK PANELLING - 3 plates	measured ornament plate: two upright tracery panels plus one horizonta	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n258_w1700.jpg	Portrait plate, upright in the scan. Three units. UPRIGHT PANEL 1 (left): 7 in 5/16 wide. A tall panel of BLIND TRACERY carved in oak. Structure top to bottom: a header band of small cusped lancet heads (five of them) over vertical shafts; then the main field, a large two-centred/ogee arch of double-ribbed bands enclosing a quatrefoil-in-lozenge at its head, with big opposed C-scrolls (mouchettes) filling the haunches and a pierced diamond either side; below the arch a tall shield-like or cusped pendant shape hangs, ending in a pointed drop with two small hooked leaves. The whole is bordered by narrow vertical mouldings and the oak grain is drawn throughout. UPRIGHT PANEL 2 (right): 7 in 3/16 wide - i.e. NOT the same width as its neighbour; the two panels of a run were not identical. Same construction, different device: the arch encloses a bold FLEUR-DE-LIS at its head, and below it a shield/escutcheon shape charged with an interlaced strapwork device and a small rosette, over a pendant drop. Header band of cusped lancet heads again. HORIZONTAL FRIEZE / RAIL PANEL (bottom): 1 ft 2 5/8 in long. Three-part section: at the top a plain wide oak rail with the grain drawn, whose lower edge is cut into a long shaped CRESTING - a flat ogee wave that rises to a pointed peak at the centre and returns in a hooked scroll at each end; below it a plain moulded rail; below that a band of running ornament: a row of lozenges/quatrefoil compartments formed by crossing double-ribbed bands, each compartment containing a four-petal ROSETTE, with cusped spandrels between - a classic running frieze that repeats on a fixed pitch (about four rosettes across the 1 ft 2 5/8 in). MODELLING: This is the plate that tells you how a panelled WALL is put together rather than just how one panel is carved. Three tile types: upright field panel (about 7 1/4 in wide), rail/frieze band with a running r...
dollman_v2_1863	analysisofancien02dolluoft	vol 2, plate 'Vol.2.54. Pl.3	262	Oak Panels. Half full size.	OLD OAK PANELLING - 3 plates. Note: the text says No. 3 on this plate is the ONE panel in 	measured ornament plate: three numbered carved oak panels in face view	yes	VERIFIED	https://archive.org/download/analysisofancien02dolluoft/page/n262_w1700.jpg	Portrait plate, upright in the scan. Three numbered panels. No. 1 (left, full height of the plate): 1 ft 7 3/8 in high x 7 1/2 in wide - the tallest panel in the whole set, and the closest thing here to a full door-height panel. It is built in FOUR stacked registers inside one frame, which is unusual and very useful: (top) a square compartment with a lattice of crossing double bands enclosing four-petal rosettes at the crossings; (second) a band of narrow vertical shafts capped by cusped lancet heads; (third and largest) a big vesica/ogee of double-ribbed tracery bands containing a central rosette-in-lozenge, flanked by pierced lancet voids, and below it two large opposed scrolled leaves with a plain horizontal bar (a raised fillet) crossing between them; (bottom) a square compartment with a SALTIRE of double bands and a four-petal rosette at the crossing, matching the square on plate 1. Every field is drawn with oak grain. No. 2 (upper right): a nearly square panel with a printed dimension on its right edge that I could not read with confidence. Design: a bordered field of narrow cusped-headed shafts round a central device - a broad SHIELD/escutcheon shape crested by a bold fleur-de-lis, the shield charged with an interlaced strapwork saltire and small lozenge bosses, the whole standing on a moulded pedestal foot. The ground behind is the same fluted-and-cusped-head diaper as the other panels. No. 3 (lower right, the Blackburne panel): a landscape panel. Along the top runs a CRESTING of alternating fleur-de-lis and lily heads standing in a row on a moulded rail with small rosettes between them. Below, set diagonally in the field, is a large SHIELD charged with THREE FLEURS-DE-LIS (2 above, 1 below), drawn with a hatched/diapered ground inside the shield; the shield is framed by a border of foliate scrollwork and cusped compartments, and the bottom edge carries ano...
dollman_v2_1863	analysisofancien02dolluoft	PLATE-RUN MAP v2 run 13	274	Canynge's House Redcliff Street Bristol, roof of hall (1) + Half timbered house, Lavenham, Suffolk (3)	derived leaf map	plate run	no	PLATE	https://archive.org/download/analysisofancien02dolluoft/page/n274_w1700.jpg	Text leaves 272-273. Plate run 274-289, 4 plates at predicted leaves 276, 280, 284, 288. Caption bleed at leaf 276 reads 'the N. front, the two bay windows are shewn restored, with the angle-post at the N.W. cor[ner]' and at 280/288 '[a] side elevations of t[he]'. MODELLING: Lavenham dated 1530, three plates, with a restored N front and an explicit ANGLE POST called out - angle posts are the load-bearing corner members of a jettied timber frame and are exactly the kind of named component our timber-frame kit needs. Canynge's House 1450 gives a second Bristol merchant hall roof to compare against Spicer's 1350.
