subject	element	value	unit	french_quote	source_article
Reims	length of arbalétriers and chevrons	17.00	m	les arbalétriers et les chevrons ont 17 m ,00	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Reims	length of the one-piece sous-arbalétriers-moises	14.50	m	ces sous-arbalétriers-moises I qui sont d’un seul morceau et n’ont pas moins de 14 m ,50 de longueur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Reims	maximum scantling of the largest pieces [[VERIFIED AGAINST THE PLATE: the drawn poincon measures 13 px = 0.221 m at 58.8 px/m, i.e. the stated 0.22 m / 8 pouces. Viollet gives the conversion himself, which tells us scantlings were SIZED IN POUCES.]]	0.22	m (= 8 pouces of the old measure)	Les équarrissages ne dépassent pas 0,22 c. pour les plus grosses pièces, huit pouces de l’ancienne mesure	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Messina cathedral	ferme spacing, axis to axis	2.50	m	une suite de fermes assez peu distantes, 2 m ,50 d’axe en axe	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Messina	tie-beam span	14.00	m	Les entraits ont 14 m , 00 de portée	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Messina	tie-beam scantling	0.80 x 0.45	m	grâce à leur énorme équarrissage (0,80 c. sur 0,45 c.), ils n’ont pas fléchi d’une manière sensible	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Auxerre bishop's palace great hall	visible poinçon, octagonal, across flats	0.13	m	le poinçon ne donne, en section horizontale, qu’un octogone de 0,13 centimètres de diamètre	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Auxerre great hall	arbalétrier scantling	0.14 x 0.12	m	les arbalétriers n’ont que 0,14. sur 0,12. d’équarrissage	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Auxerre great hall	chevron scantling	0.13 x 0.12	m	les chevrons 0,13. sur 0,12	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Auxerre small hall	width	4.80	m	Cette salle n’a pas plus de 4 m ,80 de largeur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Bardeaux (riven oak ceiling boards): thickness	0.01, sometimes 0.009	m	Ces bardeaux ou feuillets de chêne refendu ont ordinairement 0,01 c. d’épaisseur, et même quelquefois 0,009 m	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Mauvesin	ferme spacing	4.30	m	Les chevrons entre les fermes, espacées de 4 m ,30	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Mauvesin	nave width covered	7.00	m	Cette charpente, qui couvre une nef de 7 m ,00 de largeur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Span band for the simplest 13th-14th-c apparent roofs	7.00 to 8.00	m	pour couvrir des vaisseaux d’une largeur de 7 m ,00 à 8 m ,00	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully-sur-Loire	height of the grand'salle floor above the courtyard	14.30	m	La grand’salle du château de Sully est située au troisième étage, à 14 m , 30 au-dessus du sol de la cour	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	floor beams - depth x width	0.63 x 0.50	m	Les poutres qui portent les solives du plancher de la salle ont 0,63 c. d’épaisseur sur 0,50 c. de largeur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	floor beam span	11.90	m	et 11 m ,90 c. de portée	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	sablière scantling	0.30 x 0.24	m	cette sablière a 0,30 cm d’épaisseur sur 0,24 de largeur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	floor level to the apex of the pointed lambris	10.20	m	Du niveau du plancher au sommet de l’ogive formée par le lambris intérieur on compte 10 m ,20 c	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	wall thickness above the top floor	0.95	m	le mur, réduit à une épaisseur de 0,95 c	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	height of that wall above the floor	2.00	m	s’élève jusqu’à une hauteur de 2 m ,00, reçoit deux sablières	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	stone parapet of the chemins de ronde, thickness	0.26	m	clos à l’extérieur par un parapet de 0,26 c. d’épaisseur, en pierre	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	chevron spacing, axis to axis	0.63	m	Les chevrons sont espacés de 0,63 c. d’axe en axe, et la volige est, par conséquent, très-épaisse, en chêne refendu	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Sully	chevrons, jambettes and curved esseliers scantling	0.20 x 0.16	m (set on edge - 'poses sur champ')	Les chevrons, jambettes et esseliers courbes n’ont que 0,20 c. sur 0,16 c. d’équarrissage posés sur champ, et ainsi des autres bois en proportion	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Anglo-Norman tie-less truss with a single courbe	span [[CORRECTED: this is the SPAN OF THE FIG. 28 EXAMPLE, not a threshold. The text says only 'Cette ferme n'a que 5 m ,40 de portee' and that for greater spans one-piece courbes were hard to find. No threshold is stated.]]	5.40	m	Cette ferme n’a que 5 m ,40 de portée	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	width in the clear	21.00	m	la grand’salle de l’abbaye de Westminster , dont la largeur, dans œuvre, est de 21 m ,00	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	wall thickness	2.20	m	Les murs de la grand’salle de l’abbaye de Westminster ont 2 m ,20 d’épaisseur	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	wall height	about 11.50	m	sur une hauteur de 11 m ,50 environ	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	rise from the wall head to the ridge	14.00	m	La charpente, de la tête des murs au faîtage, porte 14 m ,00	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	total height from the corbels to the ridge	nearly 20.00	m	et près de 20 m ,00 des corbeaux au faîtage	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	length of arbalétriers and chevrons, tenons included	17.00	m	Les arbalétriers et chevrons ont 17 m ,00 compris tenons ; nous n’avons pu savoir s’ils sont d’un seul morceau	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	ferme spacing, axis to axis	5.75	m	les fermes-maîtresses, espacées l’une de l’autre de 5 m , 75 d’axe en axe	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Westminster Hall	number of chevrons between two fermes	11	rafters per bay	Il y a, entre fermes, onze chevrons	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Hargnies	chevron spacing, axis to axis	about 0.45	m	Entre les chevrons, espacés de 0,45 c. environ d’axe en axe, sont posées, sous la volige, des chanlattes	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Hargnies	scale of the fig.34 ter detail plate	0.05 per metre (1:20)	scale	à l’échelle de 0,05 c. pour mètre	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Amiens cathedral	span of the armed beam under the organ loft	about 15.00	m	cette poutre a 15 m ,00 environ de portée, et elle est fortement chargée	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Hotel de la Tremoille, Paris	span of armed floor beams	about 12.00	m	des poutres de planchers d’environ 12 m ,00 de portée armées	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Charpente	Jetty gain per storey	1 to 3	pieds (about 0.32 to 0.97 m)	l’on gagnait ainsi sur la voie publique, à chaque étage, un, deux ou trois pieds	Charpente, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Unit conversions Viollet himself uses	pied = 0.325 m; toise = 6 pieds ~ 1.95 m; pouce ~ 0.026 m	m	cette vis a dix pieds de profondeur (3 m , 25) […] huit à neuf pouces (0 m , 23) […] dix toises un demi-pied de hauteur […] soit à 20 mètres	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Comfortable step	going (largeur / giron)	0.28-0.30	m	que chaque marche ait en largeur la longueur d’un pied d’homme, soit 0,28 c. à 0,30 c.	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Comfortable step	rise (hauteur)	0.15-0.20 (max)	m	et en hauteur de 0,15 c. à 0,20 c. au plus	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Comfortable stair pitch, as stated [[ARITHMETIC FLAG CONFIRMED BY VERIFICATION: 22 deg does not follow from his own linear figures (0.15/0.30 = 26.6 deg, 0.20/0.28 = 35.5 deg; 22 deg needs a 0.12 m rise on a 0.30 m going). Use the linear pair and ignore the angle.]]	22 (approx.)	degrees	ce qui donne une inclinaison de 22 degrés ou environ	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Fortification / service stair pitch	45	degrees	de monter suivant un angle de 45 degrés, ce qui donne des marches aussi larges que hautes	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Wedge-step (coin) stair: rise of a PAIR of steps	0.30	m	de manière à ce que deux marches eussent ensemble 0,30 c. de hauteur	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Wedge-step stair	emmarchement at the wide end of each step	0.30	m	et chacune 0,30 c. d’emmarchement par un bout	Escalier, Viollet-le-Duc, Dictionnaire raisonne
XI-XII c. vis	emmarchement (clear step width)	1.00 max, often less	m	Ces sortes d’escaliers ne dépassent guère 1 m ,00 c. d’emmarchement, et souvent sont-ils moins larges	Escalier, Viollet-le-Duc, Dictionnaire raisonne
XI-XII c. vis	internal diameter of the cylindrical cage	six pieds = 1.90 (approx.)	m	les cages cylindriques n’ayant que six pieds, ou 1 m ,90 c. environ	Escalier, Viollet-le-Duc, Dictionnaire raisonne
XI-XII c. vis	newel diameter	at least one pied = 0.325	m	le noyau, qui dans ces sortes d’escaliers a au moins un pied de diamètre	Escalier, Viollet-le-Duc, Dictionnaire raisonne
XI-XII c. vis	net step width after deducting the newel	0.80 max	m	dont déduisant le noyau […] reste pour les marches 0,80 c. au plus	Escalier, Viollet-le-Duc, Dictionnaire raisonne
XIII c.+ vis	emmarchement range	0.50 minimum to 2.00 maximum	m	Les dimensions de ces escaliers varient ; il en est dont les emmarchements n’ont que 0,50 c. ; les plus grands n’ont pas plus de 2 m ,00, ce qui exigeait des pierres très-longues	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	step length	sept pieds = 2.275	m	elles avoient sept pieds de longueur	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	step thickness = riser	un demi (pied) = 0.1625	m	sur un demi d’épaisseur	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	giron next to the enclosing shell [[MEASURING CONVENTION IS SAUVAL'S, NOT A RULE. This is Sauval reporting ONE stair. Viollet's own GIRON article measures a triangular giron AT MID-LENGTH: 'Alors on mesure le giron de la marche au milieu de sa longueur.' Do not generalise 'pres de la coquille' into a medieval measuring convention.]]	deux et demi (pieds) = 0.8125	m	avec deux et demi de giron près de la coquille qui l’environnoit	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre petite vis	step size	trois pieds long x un et demi wide = 0.975 x 0.4875	m	chaque marche de la petite (vis) portoit trois pieds de long et un et demi de large	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre	total height of both vis together	dix toises un demi-pied = 20 (approx.)	m	qu’elles portoient ensemble dix toises un demi-pied de hauteur […] C’est-à-dire que la dernière marche de l’escalier était à 10 toises ½ pied du sol de la cour, soit à 20 mètres, et devait ainsi desservir deux étages au-dessus du rez-de-chaussée, plus la terrasse	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	number of steps	83	count	que la grande (vis) consistoit en quatre-vingt-trois marches […] À ½ pied chacune, cela fait 41 pieds ½ ou 13 m ,30 environ	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre petite vis	number of steps	41	count	et la petite en quarante et une […] À ½ pied chacune, cela fait 20 pieds ½, soit 6 m ,60 environ. Ces mesures de détail sont d’accord avec la mesure générale et produisent environ 20 mètres	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	Viollet's reconstructed flight/landing sequence	16 + 16 + 16 + 35 = 83 steps, four landings	count	Jusqu’au palier E , tenant compte du giron des marches, on trouve seize degrés. Seize autres degrés conduisaient au second palier posé au-dessus de la voûte F . Seize degrés arrivaient au troisième palier au-dessus de celui E . De ce troisième palier on montait d’une volée jusqu’au quatrième palier, toujours au-dessus de celui E , par trente-cinq marches, total, quatre-vingt-trois.	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre grande vis	buttresses and statues	10	count	Notre plan nous donne en H dix contre-forts pouvant recevoir les dix grandes statues […] il l’enrichit par dehors de basses-tailles, et de dix grandes figures de pierre couvertes chacune d’un dais, posées dans une niche, portées sur un piédestal	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre	ribs of the crowning vault	douze branches d’orgues = 12 ribs	count	la voûte qui le terminoit étoit garnie de douze branches d’orgues (nervures)	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre	door-guard statues	trois pieds = 0.975	m	Un sergent-d’armes haut de trois pieds, et sculpté par Saint-Romain, gardoit chaque porte des appartemens du roi et de la reine	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre	tombstones bought for step and landing stone	20 tombs at 14 sols parisis each, 27 September 1365	count/price	en 1365, Raimond du Temple, conducteur de l’ouvrage, enleva vingt tombes le 27 septembre, qu’il acheta quatorze sols parisis la pièce de Thibault de la Nasse, marguillier de l’église, et enfin les fit tailler par Pierre Anguerrand et Jean Colombel pour servir de pallier	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Louvre	sculptor's fee per statue	20 francs d'or = 16 livres parisis; the vault sculpture 32 livres parisis = 40 francs d'or	money	ces sculpteurs, pour chaque figure, eurent vingt francs d’or, ou seize livres parisis […] à raison de trente-deux livres parisis, ou quarante francs d’or	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Bernardins double vis	internal diameter	dix pieds = 3.25	m	cette vis a dix pieds de profondeur (3 m , 25)	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Bernardins double vis	riser	huit à neuf pouces = 0.23	m	chaque marche porte de hauteur huit à neuf pouces (0 m , 23)	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Bernardins double vis	giron	un pied ou environ = 0.325	m	les girons de l’un et de l’autre, portant un pied ou environ, qui sont entrelassés, enclavés, emboîtés, enchaînés, enchâssés, entretaillés l’un dans l’autre, et s’entremordant d’une façon aussi ferme que gentille	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Bernardins double vis	windows	2 (one lighting both flights from above, one from below)	count	Ces degrés n’ont que deux croisées, l’une qui les éclaire tous deux par en haut, l’autre par en bas	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Saint-Mederic (Saint-Merri) stair turrets: wall thickness	neuf pouces = 0.23	m	La merveille de ces deux vis consiste en leur petitesse et en la tendresse des murailles qui les soutiennent, ne portant pas neuf pouces d’épaisseur (0 m ,23)	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Thelemean	LITERARY FICTION (Rabelais), not evidence - Thelemean vis (Rabelais, FICTION): entrance arch width	six toises = 11.7	m	l’entrée estoit par les dehors du logis en un arceau large de six toises. Icelle estoit faite en telle symétrie et capacité, que six hommes d’armes, la lance sur la cuisse, pouvoient de front monter jusques au-dessus de tous le bastiment	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Timber steps	oak log diameter	0.50	m	Trois sciages I divisent la bille en chêne de 0,50 c. de diamètre, ou environ en six triangles dans chacun desquels on trouve une marche	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Timber stair	corner posts (poteaux)	0.18 x 0.20	m	Les poteaux ont 0,18 c. sur 0, 20 posés de champ dans le sens de l’emmarchement	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Timber stair	strings (limons) thickness	0.15	m	ces limons portent 0,15 c. d’épaisseur, et affleurent le nu extérieur des poteaux	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Joinery vis	steps per circumference [[CONTRADICTED BY VIOLLET'S OWN PLATE. This is the article's ONLY stated steps-per-turn figure, but plan A of fig. 30 draws 5 steps between 6 montants spanning 110 deg = ~22 deg each and ~16 per turn, and is not a quarter. Keep 12 as the quoted statement; do not use it as a verified timber-vis parameter without noting the plate disagrees.]]	12	count	Nous donnons en A le plan d’un quart d’un escalier de ce genre portant douze marches sur sa circonférence	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Joinery vis	entry opening height	2.00	m	Deux des montants, coupés à deux mètres du sol, et reposant sur une traverse assemblée dans les poteaux voisins	Escalier, Viollet-le-Duc, Dictionnaire raisonne
College de Montaigu vis	newel from a single timber	12 to 15	m	un joli escalier à vis en menuiserie, dont le noyau pris dans une longue pièce de bois de douze à quinze mètres de hauteur était fort habilement travaillé en façon de colonne à nervures torses	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Escalier	Drawing scales stated for fig.27/28	plan 1:100, section 1:50	scale	L’échelle du plan est de 0,01 c. pour mètre. Faisons une coupe longitudinale sur a b , et présentons la au double pour plus de clarté. […] Le détail O donne la section horizontale d’un montant au dixième de l’exécution.	Escalier, Viollet-le-Duc, Dictionnaire raisonne
Montpazier	width of the front street [[THE PLATE CONFIRMS THE TEXT. Decoding fig. 17 (bar ticks x=108.5/168.0/227.5/287.0 labelled 10/20/30 = 5.95 px/m) gives a street gap of 10.1-10.8 m. The reader's claimed 7.5 m plate figure and its 25 per cent discrepancy do not exist.]]	10	metres	une rue de 10 metres de largeur	Maison, Viollet-le-Duc, Dictionnaire raisonne
Montpazier	width of the rear alley (ruelle) [[THE PLATE CONFIRMS THE TEXT: rear gap 19 px = 3.2 m at 5.95 px/m.]]	about 3	metres	l'autre posterieure sur une ruelle de 3 metres environ	Maison, Viollet-le-Duc, Dictionnaire raisonne
Montpazier	alley between two houses within a block (endronne)	the width of a gutter (caniveau)	-	Les ruelles entre les maisons n'ont quelquefois que la largeur d'un caniveau	Maison, Viollet-le-Duc, Dictionnaire raisonne
Vitteaux house	total plot area	about 100	square metres	sur un terrain de 100 metres environ	Maison, Viollet-le-Duc, Dictionnaire raisonne
Vitteaux house	built footprint	49	square metres	sur lesquels 49 metres superficiels etaient reserves a la construction	Maison, Viollet-le-Duc, Dictionnaire raisonne
Vitteaux house	VIOLLET'S OWN 1860s COSTING, not a medieval price - Viollet's 1860s rebuild cost	250 fr per square metre, total 12 250 fr	francs	Une construction de ce genre, avec le mode adopte, couterait, caves comprises, en province, 250 fr. le metre superficiel ; la maison reviendrait donc a la somme de 12 250 fr.	Maison, Viollet-le-Duc, Dictionnaire raisonne
Annonay house	roof projection beyond the ground-floor wall face	about 3.50	metres	La saillie du comble sur le nu du mur du rez-de-chaussee est de 3 m 50 environ	Maison, Viollet-le-Duc, Dictionnaire raisonne
Reims	Reims (Place des Marches) 15th-c timber house: jetty projection over the public way	1.65	metres	est ainsi portee en encorbellement sur cinq fortes potences et est en saillie de 1 m,65 sur la voie publique	Maison, Viollet-le-Duc, Dictionnaire raisonne
Late-15th-c Paris/Normandy timber facades	maximum storey projection	up to 2	metres	donnant aux etages jusqu'a deux metres de saillie sur le nu du soubassement	Maison, Viollet-le-Duc, Dictionnaire raisonne
Hotel de Jacques Coeur, Bourges	opening of the great dining-hall chimney	6	metres	La grande cheminee c, de six metres d'ouverture, etait richement decoree	Maison, Viollet-le-Duc, Dictionnaire raisonne
Hotel de Cluny, Paris	garden	17 x 35	metres	Le jardin G, de 17 metres de largeur sur 35 metres de longueur environ, etait borde par des proprietes particulieres	Maison, Viollet-le-Duc, Dictionnaire raisonne
Cordes hotel	height of the great ground-floor hall above the court	7 steps	marches	donne entree dans la grande salle du rez-de-chaussee H, elevee de sept marches au-dessus du sol de la cour	Maison, Viollet-le-Duc, Dictionnaire raisonne
Morvan peasant house	height of the raised entrance door above ground	1 to 2	metres	Porte elevee d'un ou deux metres au-dessus du sol avec escalier et palier engage dans la muraille	Maison, Viollet-le-Duc, Dictionnaire raisonne
Vosges peasant house	stone plinth (soubassement) height	about 1.00	metres	Les maisons s'elevent sur un soubassement de 1 m,00 de hauteur environ, forme de gros blocs de gres	Maison, Viollet-le-Duc, Dictionnaire raisonne
Vosges peasant house	room count	3 rooms on the ground floor, 4 under the roof	rooms	Presque toujours ces maisons se composent de trois pieces a rez-de-chaussee et de quatre pieces sous comble	Maison, Viollet-le-Duc, Dictionnaire raisonne
Le Cannet fortified farm tower	height of the door above the outside ground	3	metres	La porte, relevee de trois metres au-dessus du terrain exterieur	Maison, Viollet-le-Duc, Dictionnaire raisonne
Le Cannet tower	machicolations on the top storey	6	openings	est perce de six machicoulis en forme de hottes, et ne possedait pas de fenetre	Maison, Viollet-le-Duc, Dictionnaire raisonne
Le Cannet tower	distance from the sea	about 4	kilometres	a mi-cote et a quatre kilometres environ de la mer	Maison, Viollet-le-Duc, Dictionnaire raisonne
Bordeaux fortified farm	stair from the water level of the moat to the raised door	12 steps	marches	Un escalier de douze marches engagees dans la muraille conduisait du niveau de l'eau a la porte relevee	Maison, Viollet-le-Duc, Dictionnaire raisonne
Maison	Modern storeys Viollet condemns as too low, implying medieval storeys exceeded this	less than 3	metres	Et ces etages de moins de trois metres de hauteur, sous plafond, sont-ils sains et confortables ?	Maison, Viollet-le-Duc, Dictionnaire raisonne
Maison des Musiciens, Reims	first-floor window and niche count	4 windows, 5 niches	openings	La facade de cette maison possede quatre fenetres hautes et larges au premier etage avec cinq niches dans les trumeaux	Maison, Viollet-le-Duc, Dictionnaire raisonne
Saint-Antonin	purchase price of the town by Saint Louis	1 500	livres tournois	Saint Louis acheta du comte de Toulouse la ville de Saint-Antonin, moyennant 1 500 livres tournois	Maison, Viollet-le-Duc, Dictionnaire raisonne
Bourges	price paid by Jacques Coeur in 1443 for the two-tower rampart fief	1 200	ecus	En 1443, Jacques Coeur acheta de Jacques Belin, moyennant 1 200 ecus, le fief comprenant deux tours des remparts de Bourges sur lequel il batit son hotel	Maison, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Isolated monolithic chapel columns, Notre-Dame de Chalons-sur-Marne ambulatory chapels (late 12c)	0.30	m (max)	Les colonnes isolées des chapelles sont des monolithes de 0,30 c. de diamètre au plus	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Slender monostyle columns A, hemicycle of Saint-Leu-d'Esserent (c.1190)	0.50	m	Les deux colonnes A n’ont que 0,50 c. de diamètre	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Stout monostyle columns B, hemicycle of Saint-Leu-d'Esserent (c.1190)	0.85	m (approx)	celles B 0,85 c. environ	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Rib voussoir bounding section, mid-12c, small vaults	0.22	m	les claveaux des arcs sont généralement compris dans une section carrée C, de huit pouces (0,22 c.)	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Rib voussoir bounding section, mid-12c, medium vaults	0.33	m	à un pied ou dix-huit pouces de côté (0,33 c. et 0,50 c.), suivant la largeur de la voûte	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Rib voussoir bounding section, mid-12c, large vaults	0.50	m	dix-huit pouces de côté (… 0,50 c.), suivant la largeur de la voûte	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Web rubble (moellon) unit width - the setting-out standard XX'	0.08 to 0.15	m	Supposons que le moellon maniable, qu’un maçon peut facilement poser à la main, ait la largeur XX′ (largeur qui varie de 0,08 c. à 0,15 c. dans ces sortes de constructions)	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Web (remplissage) thickness, large late-12c Gothic vaults	0.10 to 0.12	m	beaucoup de remplissages de grandes voûtes gothiques, surtout à la fin du XII e siècle, n’ont pas plus de 0,10 c. à 0,12 c. d’épaisseur	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Web thickness, high vaults of Notre-Dame de Paris	0.10	m (max)	Les remplissages des grandes voûtes de la cathédrale de Paris n’ont pas plus de 0,10 c. d’épaisseur.	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
Construction -- Voutes	Rise (fleche) of the ridge line from diagonal crown to wall-arch crown - the worked example the master calls out to the mason [[EXAMPLE VALUE, EXPLICITLY: 'Le constructeur dit, PAR EXEMPLE : la ligne CK ... aura 0,50 c. de fleche'. It is the only ridge rise Viollet quantifies, but it is not a constant.]]	0.50	m	Le constructeur dit, par exemple : la ligne CK, réunissant la clef des arcs ogives à la clef des formerets, aura 0,50 c. de flèche	Construction -- Voutes, Viollet-le-Duc, Dictionnaire raisonne
