family	title	author	work	date	holder	plate	note_tag	note	image_page_url	license
joints_ligaments	Articulations scapulo-claviculaire, scapulo-humérale et huméro-cubitale	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 53	PLATE	The shoulder girdle as a linkage — clavicle to scapula to humerus — with the elbow as small companion figures. Where the arm actually attaches to the body.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations huméro-cubitale et radio-carpienne	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 54	PLATE	Elbow at half scale and wrist at life size, in several rotations each — enough views to reconstruct both joints' swing limits.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations de la main — grandeur naturelle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 55	VERIFIED	Two life-size hands, dorsal and palmar, ligaments in place, plus two sagittal finger sections. The modelling truth here: the carpal ligament mass is a dense white block that HIDES the individual carpals — a wrist reads as one strapped lump, and the metacarpal heads are tied to each other by transverse bands.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations du genou, fémoro-tibiale, rotulienne et péronéo-tibiale supérieure	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 56	VERIFIED	Nine figures of one knee: anterior, posterior, both laterals, flexed, a sagittal section showing cruciates and cancellous bone interior, and two plateau views drawn from above with the MENISCI in place. A complete single-joint kit — every view a rigger needs plus the section that explains it.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations péronéo-tibiales et tibio-tarsienne	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 57	PLATE	Ankle and the tibia–fibula pairing at life size: the mortise the talus sits in, and the membrane binding the two leg bones along their whole length.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Ligamens du pied	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 58	PLATE	Two dorsal feet at life size with the ligament sheet intact — the strapping that turns a pile of tarsals into an arch.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
joints_ligaments	Articulations et ligamens profonds du pied	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 59	PLATE	The deep layer: plantar and lateral views showing the ligaments that actually carry the arch once the superficial sheet is stripped.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
myology_layers	Sujet complet de myologie — plan antérieur	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 60	PLATE	The muscular twin of the syndesmology figure: one standing body, every superficial muscle in place, numbered throughout. Colour-printed, so contractile muscle and tendon read apart at a glance.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Sujet complet de myologie — plan postérieur	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 61	PLATE	Posterior counterpart, same subject and numbering — the two register for a full survey of the surface muscle layer.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Ensemble des muscles du tronc — couche superficielle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 62	VERIFIED	The colour is load-bearing: red-brown = contractile belly, pale grey = aponeurosis. Read the abdomen and it is mostly PALE — the front of the belly is a broad tendon sheet, not muscle, with red only out at the flank. Note also that Bourgery dissects the two halves to DIFFERENT DEPTHS, so one figure carries two layers: pectoralis intact on one side, serratus digitations interleaving with the oblique on the other.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Paroi antérieure du tronc — muscles de la première couche	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 63	PLATE	First layer of the anterior trunk wall. Start of a four-plate strip-down: build a torso by following the sequence outward-in, or inward-out.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Paroi antérieure du tronc — muscles de la deuxième couche	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 64	PLATE	Second layer. The same body, one stratum deeper — the value is the registration between plates, not any single sheet.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Paroi antérieure du tronc — muscles de la troisième couche	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 65	PLATE	Third layer, ribs beginning to show through. The end of the strip-down, where muscle gives way to skeleton.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles de l'avant-bras	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 118	PLATE	Forearm in three rotations plus two detail figures — the bellies that drive the hand, shown where they actually sit.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles de la main — couche superficielle, grandeur naturelle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 119	VERIFIED	Life-size palm, and the lesson is where the red ISN'T: muscle sits only in the thenar and hypothenar eminences and the lumbricals, while the FINGERS CONTAIN NO MUSCLE AT ALL — pale tendon and sheath the whole way out. Finger power is imported from the forearm. The cut stump at the wrist shows that import as a bundle of pale cords in section.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles de la paume de la main — couche profonde	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 121	PLATE	Deep palm with sectional figures — the interossei layer under the long tendons.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles de la main — plan postérieur	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 122	PLATE	Back of the hand: extensor tendons fanning over the metacarpals with almost no muscle belly to hide them.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles pelvi-fémoraux — couche superficielle, grandeur naturelle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 124	PLATE	Life-size gluteal mass as a single sweeping sheet — the body's largest muscle drawn big enough to see its fibre direction change across its width.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles pelvi-fémoraux — deuxième couche	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 125	PLATE	Gluteus maximus removed: the deep rotators exposed as a fan converging on the greater trochanter. The hip's steering layer.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
myology_layers	Muscles de la cuisse — plan antérieur, couche superficielle	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas II (Myologie)	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 127	PLATE	Anterior thigh, superficial layer — quadriceps group and the sartorius crossing it diagonally.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_II_1831.pdf	Public domain
topographic_sections	Cou — anatomie chirurgicale, grandeur naturelle	N. H. Jacob (drawn from nature), lith. Bénard & Frey	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas VI (Anatomie chirurgicale)	Paris, 1839	Univ. Heidelberg scan via Commons	pl. 2	VERIFIED	Two life-size neck dissections on a TRUE BLACK ground, and the black is the technique: the specimen floats free, so a pale subject reads at maximum clarity. Colour does the labelling — blue veins, orange arteries, white nerve cords, red muscle, cream bone and fascia, a legend without a legend. Note the borders: they are drawn as CUT EDGES, skin showing as a brown rind, so the plate reads as an excised block with real depth, not a floating diagram.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_VI_1839.pdf	Public domain
topographic_sections	Plans musculaires, aponévroses, vaisseaux et nerfs du périnée	N. H. Jacob (drawn from nature), lith. Bénard & Frey	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas VI (Anatomie chirurgicale)	Paris, 1839	Univ. Heidelberg scan via Commons	pl. 3	PLATE	The pelvic floor in layers — the region games never model and always get wrong when a body is viewed from below.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_VI_1839.pdf	Public domain
topographic_sections	Intérieur de la cavité du bassin — grandeur naturelle	N. H. Jacob (drawn from nature), lith. Bénard & Frey	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas VI (Anatomie chirurgicale)	Paris, 1839	Univ. Heidelberg scan via Commons	pl. 4	PLATE	A life-size horizontal section through the pelvis on black. Read it for how body mass is actually distributed in the hips — the bone ring is a thin shell around a large soft volume.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_VI_1839.pdf	Public domain
topographic_sections	Loges musculaires des régions lombaire, fessière et fémorale postérieure	N. H. Jacob (drawn from nature), lith. Bénard & Frey	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas VI (Anatomie chirurgicale)	Paris, 1839	Univ. Heidelberg scan via Commons	pl. 5	PLATE	Muscle COMPARTMENTS rather than individual muscles: the fascial envelopes that bundle the back and buttock groups. The right abstraction level for a game body — bundles, not strands.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_VI_1839.pdf	Public domain
topographic_sections	Loges musculaires, aponévroses, vaisseaux et nerfs du cou et de l'aisselle	N. H. Jacob (drawn from nature), lith. Bénard & Frey	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas VI (Anatomie chirurgicale)	Paris, 1839	Univ. Heidelberg scan via Commons	pl. 6	PLATE	Neck and armpit at life size with the head thrown back — the axilla opened as the passage it really is, where the arm's supply crosses from trunk to limb.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_VI_1839.pdf	Public domain
limbs_joints	Gray347	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Engraved joint diagram: articulation surfaces and the constraints they imply.	https://commons.wikimedia.org/wiki/File:Gray347.png	Public domain
limbs_joints	Gray348-2	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Engraved joint diagram: articulation surfaces and the constraints they imply.	https://commons.wikimedia.org/wiki/File:Gray348-2.png	Public domain
limbs_joints	Gray349 zh	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Engraved joint diagram: articulation surfaces and the constraints they imply.	https://commons.wikimedia.org/wiki/File:Gray349_zh.png	Public domain
limbs_joints	Gray327	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Engraved joint diagram: articulation surfaces and the constraints they imply.	https://commons.wikimedia.org/wiki/File:Gray327.png	Public domain
hands_feet	Gray219 - Phalanges of the hand	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Phalanx-level bone counts and ordering for hands and feet.	https://commons.wikimedia.org/wiki/File:Gray219_-_Phalanges_of_the_hand.png	Public domain
hands_feet	Gray220 - Intermediate phalanges of the hand	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Phalanx-level bone counts and ordering for hands and feet.	https://commons.wikimedia.org/wiki/File:Gray220_-_Intermediate_phalanges_of_the_hand.png	Public domain
hands_feet	Gray234 - Phalanges of the hand	Henry Vandyke Carter	Gray's Anatomy	London, 1858	Wikimedia Commons		PLATE	Phalanx-level bone counts and ordering for hands and feet.	https://commons.wikimedia.org/wiki/File:Gray234_-_Phalanges_of_the_hand.png	Public domain
bone_structure	Détails de tissu d'os — I	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 42	PLATE	Bones sawn open and printed on a BLACK ground so the cancellous interior reads as lace. Reference for what a broken or cut bone should look like inside — and a lesson in presenting pale subjects on dark fields.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
bone_structure	Détails de tissu d'os — II	N. H. Jacob (drawn from nature), lith. J. Bénard	Bourgery & Jacob, Traité complet de l'anatomie de l'homme — Atlas I	Paris, 1831	Univ. Heidelberg scan via Commons	pl. 43	PLATE	Femur, tibia and vertebral sections on black: trabecular grain visibly aligns with load paths. Structure-follows-force, drawn in 1831.	https://commons.wikimedia.org/wiki/File:Bourgery_Atlas_I_1831.pdf	Public domain
full_skeletons	Vesalius Fabrica p163	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Vesalius_Fabrica_p163.jpg	Public domain
full_skeletons	Cheselden t33	William Cheselden	Osteographia	London, 1733	Wikimedia Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Cheselden_t33.jpg	Public domain
full_skeletons	Cheselden t36 prayer	William Cheselden	Osteographia	London, 1733	Wikimedia Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Cheselden_t36_prayer.jpg	Public domain
full_skeletons	De humani corporis fabrica, 1543; skeleton	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:A._Vesalius,_De_humani_corporis_fabrica,_1543;_skeleton_Wellcome_L0028557.jpg	CC BY 4.0
full_skeletons	"W. Cheselden, ""Osteographia"", 1733; skeleton"	William Cheselden	Osteographia	London, 1733	Wellcome Collection via Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:W._Cheselden,_%22Osteographia%22,_1733;_skeleton_Wellcome_L0013639.jpg	CC BY 4.0
full_skeletons	Leaning skeleton, by Vesalius	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Leaning_skeleton,_by_Vesalius._Wellcome_L0003669.jpg	CC BY 4.0
full_skeletons	Skeleton leaning on pole, by Vesalius	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Skeleton_leaning_on_pole,_by_Vesalius._Wellcome_L0002229.jpg	CC BY 4.0
full_skeletons	Vesalius, De humani corporis fabrica, 1543	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Whole-figure skeleton in a staged pose — stance, proportion landmarks and the silhouette a rigged skeleton has to match.	https://commons.wikimedia.org/wiki/File:Vesalius,_De_humani_corporis_fabrica,_1543_Wellcome_L0028907.jpg	CC BY 4.0
skulls_axial	Vesalius Fabrica skulls	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:Vesalius_Fabrica_skulls.jpg	Public domain
skulls_axial	Vesalius five skulls	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:Vesalius_five_skulls.jpg	Public domain
skulls_axial	Vesalius 164frc	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:Vesalius_164frc.png	Public domain
skulls_axial	"Basel BS — Anatomisches Museum — De Humani Corporis .. ""Darstellung der antiken Kochmethode"""	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:Basel_BS_%E2%80%94_Anatomisches_Museum_%E2%80%94_De_Humani_Corporis_.._%22Darstellung_der_antiken_Kochmethode%22.JPG	Public domain
skulls_axial	De humani corporis fabrica	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:A._Vesalius,_De_humani_corporis_fabrica._Wellcome_L0021647.jpg	CC BY 4.0
skulls_axial	Osteology from Vesalius' De Humani Corporis Fabrica	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Skull and axial chain — the curvature and bone-count reference for the head and spine.	https://commons.wikimedia.org/wiki/File:Osteology_from_Vesalius%27_De_Humani_Corporis_Fabrica_Wellcome_L0006869.jpg	CC BY 4.0
musculature	Vesalius muscles back	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:Vesalius_muscles_back.jpg	Public domain
musculature	Vesalius muscles front	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:Vesalius_muscles_front.jpg	Public domain
musculature	De humani corporis fabrica	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wikimedia Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:De_humani_corporis_fabrica_(27).jpg	Public domain
musculature	The fifth muscle tabula, by Vesalius	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:The_fifth_muscle_tabula,_by_Vesalius._Wellcome_M0015268.jpg	CC BY 4.0
musculature	De humani corporis fabrica libri septum	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:A._Vesalius,_De_humani_corporis_fabrica_libri_septum_Wellcome_L0031072.jpg	CC BY 4.0
musculature	Fifth muscle man, by Vesalius	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:Fifth_muscle_man,_by_Vesalius._Wellcome_L0001648.jpg	CC BY 4.0
musculature	Fourth muscle man, by Vesalius	Andreas Vesalius	De humani corporis fabrica	Basel, 1543	Wellcome Collection via Commons		PLATE	Écorché plate: surface form over bone, showing which muscles actually shape the outside of a body.	https://commons.wikimedia.org/wiki/File:Fourth_muscle_man,_by_Vesalius._Wellcome_L0001647.jpg	CC BY 4.0
animal_anatomy	Plate III from 'The Anatomy of the Horse' by George Stubbs, 1853	George Stubbs	The Anatomy of the Horse	1766	Wikimedia Commons		PLATE	Quadruped skeleton for artists — joint layout and limb proportion for creature work.	https://commons.wikimedia.org/wiki/File:Plate_III_from_%27The_Anatomy_of_the_Horse%27_by_George_Stubbs,_1853.JPG	Public domain
animal_anatomy	Horse anatomy head	Ellenberger, Baum & Dittrich	Handbuch der Anatomie der Tiere für Künstler	Leipzig, 1889	Wikimedia Commons		PLATE	Quadruped skeleton for artists — joint layout and limb proportion for creature work.	https://commons.wikimedia.org/wiki/File:Horse_anatomy_head.jpg	Public domain
animal_anatomy	Horse anatomy hooves	Ellenberger, Baum & Dittrich	Handbuch der Anatomie der Tiere für Künstler	Leipzig, 1889	Wikimedia Commons		PLATE	Quadruped skeleton for artists — joint layout and limb proportion for creature work.	https://commons.wikimedia.org/wiki/File:Horse_anatomy_hooves.jpg	Public domain
animal_anatomy	Dog anatomy lateral skeleton view (full)	Ellenberger, Baum & Dittrich	Handbuch der Anatomie der Tiere für Künstler	Leipzig, 1889	Wikimedia Commons		PLATE	Quadruped skeleton for artists — joint layout and limb proportion for creature work.	https://commons.wikimedia.org/wiki/File:Dog_anatomy_lateral_skeleton_view_(full).jpg	Public domain
animal_anatomy	Dog anatomy anterior view	Ellenberger, Baum & Dittrich	Handbuch der Anatomie der Tiere für Künstler	Leipzig, 1889	Wikimedia Commons		PLATE	Quadruped skeleton for artists — joint layout and limb proportion for creature work.	https://commons.wikimedia.org/wiki/File:Dog_anatomy_anterior_view.jpg	Public domain
