slot,candidate_id,accession,museum,coverage_status,n_bom_rows,n_analytical_subrows,view_count,verification_method,rights_class,rights_class_meaning,note
07_sideboard,FC-07-1999_79,1999.79,Metropolitan Museum of Art,analysed,29,36,10,API re-verified in this session,unrestricted,unrestricted / open production use,,
07_sideboard,FC-07-76_63a-f,76.63a-f,Brooklyn Museum,page-only evidence,0,0,7,PAGE-VERIFIED ONLY - no open API; view count counted by eye,noncommercial,noncommercial or otherwise restricted - NOT equivalent to open reuse,"Brooklyn Museum. Stored rightsType is ""Creative Commons 3D"" - a NONCOMMERCIAL licence family. NOT equivalent to the CC0 objects that make up most of the corpus.","Brooklyn Museum 76.63a-f. No open API; PAGE-VERIFIED ONLY. Never dispatched. NOTE its rights class: stored rightsType is 'Creative Commons 3D', a NONCOMMERCIAL family - not equivalent to the CC0 objects that make up most of the corpus."
08_wardrobe,FC-08-69_140ab,"69.140a, b",Metropolitan Museum of Art,analysed,28,31,10,API re-verified in this session,unrestricted,unrestricted / open production use,,
08_wardrobe,FC-08-2019_59,2019.59,Cleveland Museum of Art,analysed,29,30,18,API re-verified in this session,unrestricted,unrestricted / open production use,,
09_bedstead,FC-09-69_146_1,69.146.1,Metropolitan Museum of Art,analysed,34,36,5,API re-verified in this session,unrestricted,unrestricted / open production use,,
09_bedstead,FC-09-1954_151,1954.151,Cleveland Museum of Art,analysed,25,27,22,API re-verified in this session,unrestricted,unrestricted / open production use,,
10_chest,FC-10-1971_281,1971.281,Cleveland Museum of Art,analysed,19,19,4,API re-verified in this session,unrestricted,unrestricted / open production use,,
10_chest,FC-10-1984_161,1984.161,Cleveland Museum of Art,analysed,31,32,3,API re-verified in this session,unrestricted,unrestricted / open production use,,
11_long_table,FC-11-10_125_133,10.125.133,Metropolitan Museum of Art,analysed,20,20,7,API re-verified in this session,unrestricted,unrestricted / open production use,,
11_long_table,FC-11-236:12-1869,"236:1, 2-1869",Victoria and Albert Museum,page-only evidence,0,0,7,PAGE-VERIFIED ONLY - no open API; view count counted by eye,reference_only,page-visible reference only,"V&A. ""(c) Victoria and Albert Museum, London"" on all 7 image assets. Rights are STATED, which satisfies the literal admission gate, but the images are neither open access nor CC0.","V&A 236:1, 2-1869. No open API; PAGE-VERIFIED ONLY. Never dispatched. Rights: '(c) Victoria and Albert Museum, London' on all 7 image assets - reference only."
12_console,FC-12-2002_298_1,2002.298.1,Metropolitan Museum of Art,analysed,19,19,8,API re-verified in this session,unrestricted,unrestricted / open production use,,
12_console,FC-12-2002_298_2,2002.298.2,Metropolitan Museum of Art,not dispatched - reason unrecorded,0,0,8,API re-verified in this session,unrestricted,unrestricted / open production use,,"Met 2002.298.2, the SECOND of a matched PAIR of Vanderbilt House pedestals; .1 was analysed and contributes 19 BOM rows. Open API, re-verified, gate PASS, 8 views. v1 dispatched 20 agents for 24 candidates and did not record which four were left out or why; this is one of them. IMPORTANT: a matched pair is NOT two independent objects. If .2 is analysed later its rows must not raise any family's objects_unlocked, or one design gets counted twice as corroboration."
