family_id,FC-01-1999_488,FC-01-2012_216,FC-02-67_230,FC-03-2011_3,FC-03-30_120_59,FC-04-1969_262,FC-04-1972_47,FC-05-69_146_3,FC-06-69_146_2,FC-07-1999_79,FC-08-2019_59,FC-08-69_140ab,FC-09-1954_151,FC-09-69_146_1,FC-10-1971_281,FC-10-1984_161,FC-11-10_125_133,FC-12-2002_298_1
rail.gate_swinging,,,,,,,,,,,,,,,,,1,
brace.corner_glue_block,,,,,0.5,0.5,,,,,,,,,,,,
locator.case_base_block,,,,,,,,,,,1,,,,,,,
stay.metal_quadrant_visible,,,,,,,,1,,,,,,,,,,
bracket.shaped_sawn_console,1,,,,,,,,,,,,1,1,,,,
cleat.lid_batten,,,,,,,,,,,,,,,1,1,,
plate.pegged_repair,,,,,1,,,,,,,,,,,,,
brace.seat_internal_grid,,,,,1,,,,,,,,,,,,,
frame.stile_rail_muntin_grid,,,,,,,1,0.5,1,,1,,,,1,0.5,,
frame.applied_moulded_surround,,,,1,,,,,,1,,,,1,,,,
enclosure.rail_and_bracket,,1,,,,,,,,,,,,,,,,
panel.floating_wood_in_groove,,,,,,,,,1,,,,,,1,,,
panel.upholstered_field,1,1,,,,,,,,,,,,,,,,
cornice.stacked_profile_run,,,,,,,,1,1,1,1,1,,1,,,,
crest.shaped_sawn_board,,,,1,1,,,,,1,,,,,,,,
crest.laminated_curved,,,,,,,,,,,,,1,,,,,
crest.rolled_carved,1,,,,,,,,,,,,,,,,,
crest.bent_moulded_rail,,1,,,,,,,,,,,,,,,,
capital.metal_assembly,,,,,,,,,,,,,,,,,,1
moulding.profile_toolkit,1,1,,1,,0.5,1,1,1,1,1,1,1,,0.5,1,1,
moulding.repeating_cell_run,,,,,,,,,,,,,,1,,,,1
ring.revolved_collar,,,,,,,,,,,,,,,,,,0.5
collar.cut_in_solid_stone,,,,,,,,,,,,,,,,,,1
ornament.placement_system,,,,1,,,,,,,,,,,,1,,
ornament.applied_screwed_garland,,,,,,,,,,,,,1,,,,,
ornament.carved_in_solid_face,,,,,,,,,,,,,,,1,,,
ornament.marquetry_motif_set,,,,,,,,1,1,,,1,,1,,,,
bespoke.lion_grotesque_head,1,,,,,,,,,,,,,,,,,
bespoke.female_mask,,,,,,,,,,,,,,,,,,1
bespoke.leonine_corner_mask,,,,,,,,,,,,,,,,,,1
bespoke.winged_sun_disk,,,1,,,,,,,,,,,,,,,
ornament.radial_petal_array,,,0.5,,,,,,,,,,,,,,,
bespoke.inlaid_urn,,,,,,,,1,,,,,,,,,,
bespoke.inlaid_arcade,,,,,,,,1,,,,,,,,,,
bespoke.anthemion_cartouche,,0.5,,,,,,,,,,,,,,,,
inlay.linear_stringing_path,,,,,,1,1,1,1,,,1,,1,,,,
inlay.painted_line_path,,,1,,,,,,,1,,,,,,,,
inlay.engraved_filled_line,,,,,,,,,,,,,,,,,,1
inlay.node_punctuation,,1,,,,,,,,,,,,1,,,,
inlay.repeated_cell_run,,,,,,,,,,,1,,,,,,,
bespoke.claw_and_ball_foot,,,,,1,,,,,,,,,,,,,
bespoke.paw_foot,,,,,,,1,,,,,,,,,,,
ornament.painted_repeating_row,,,1,,,,,,,,,,,,,,,
relief.spiral_volute,1,,,,,,,,,,,,,,,,,
relief.pendant_palmette,,,,1,,,,,,,,,,,,,,
relief.knee_acanthus_rocaille,,,,,1,,,,,,,,,,,,,
relief.carved_roundel,,,,,,,,1,,,,,,,,,,
relief.anthemion_capital,,,,,,,,,,1,,,,,,,,
relief.husk_laurel_swag,,,,,,,,,,1,,,,,,,,
relief.dentil_block,,,,,,,,,,1,,,,,,,,
relief.drilled_dot,,,,,,,,,,1,,,,,,,,
relief.bolection_field,,,,,,,,,,,1,,,,,,,
relief.floral_block,,,,,,,,,,,,,,1,,,,
relief.pierced_rosette_ring,,,,,,,,,,,,,1,,,,,
relief.acanthus_collar,,,,,,,,,,,,,1,,,,,
relief.rosette_die_panel,,,,,,,,,,,,,1,,,,,
relief.beaded_teardrop_lappet,,,,,,,,,,,,,,,,,,1
relief.heart_lappet,,,,,,,,,,,,,,,,,,1
relief.glass_cabochon,,,,,,,,,,,,,,,,,,1
relief.mop_disc_in_bezel,,1,,,,,,,,,,,,,,,,
relief.carved_rosette_patera,,,,,,,1,,,,,,,,,,,
relief.flower_chain_run,,,,,,,1,,,,,,,,,,,
relief.carved_palmette,,,,,,,1,,,,,,,,,,,
relief.applied_wreath_ring,,,,,,,,,,,,,,1,,,,
inlay.inset_swappable_cell,,,,,,,,,,,,,,1,,,,
inlay.closed_line_outline_master,,,,,,1,,,,,,,,,,,,
inlay.keyhole_cartouche,,,,,,,,1,,,,,,,,,,
inlay.star_scatter_master,,,,,,,1,,,,,,,,,,,
inlay.mop_disc_master,,,,,,,1,,,,,,,,,,,
inlay.abalone_plaque,,,,,,,1,,,,,,,,,,,
