family_id,lane,status,n_member_subrows,n_visible,n_partially_visible,n_inferred,n_not_determinable,weighted_evidence,objects_unlocked,rankability
stile.continuous_curved_arm_back,assembly_grammar,RANKABLE,2,2,0,0,0,2.0,1,RANKABLE
post.bed_square_fluted,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
rail.back_frame,component_recipe,RANKABLE,2,2,0,0,0,2.0,1,RANKABLE
rail.straight_visibility_switched,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
rail.gallery_cap,component_recipe,RANKABLE,2,2,0,0,0,2.0,1,RANKABLE
flyrail.moving_assembly,assembly_grammar,RANKABLE,2,2,0,0,0,2.0,1,RANKABLE
cleat.lid_batten,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
panel.floating_wood_in_groove,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
panel.upholstered_field,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
moulding.repeating_cell_run,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
inlay.painted_line_path,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
inlay.node_punctuation,component_recipe,RANKABLE,2,2,0,0,0,2.0,2,RANKABLE
post.case_corner_structural_joined,component_recipe,RANKABLE,2,1,1,0,0,1.5,2,RANKABLE
post.carcase_unresolved,component_recipe,AUDIT_ONLY,2,1,1,0,0,1.5,2,NOT_RANKABLE_AUDIT_ONLY
rail.frieze,component_recipe,RANKABLE,2,1,1,0,0,1.5,2,RANKABLE
foot.turned_with_castor_socket,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
foot.disc_pad_separable,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
foot.spun_metal_base,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
muntin.upholstery_tacking,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
armpost.rear_tied_to_back_frame,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
post.back_intermediate,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
post.bed_stacked_block,assembly_grammar,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
post.turned_pivot_gate,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
trestle.splayed_board_standard,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
support.shelf_stick,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
board.plain_back,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.seat_pinned,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.panel_frame_stock,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.plinth,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.back_secondary,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.shared_stock_multi_role,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.multi_purpose_unresolved,component_recipe,AUDIT_ONLY,2,0,2,0,0,1.0,2,NOT_RANKABLE_AUDIT_ONLY
rail.upholstery_tacking,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.curved_sawn,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.gallery_spindle_mortised,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
arm.round_reeded_rod,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
arm.flat_swept_board,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
arm.arcaded_assembly,assembly_grammar,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
rail.gate_swinging,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
brace.corner_glue_block,component_recipe,RANKABLE,2,0,2,0,0,1.0,2,RANKABLE
locator.case_base_block,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
stay.metal_quadrant_visible,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
plate.pegged_repair,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
brace.seat_internal_grid,assembly_grammar,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
enclosure.rail_and_bracket,assembly_grammar,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
crest.laminated_curved,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
crest.rolled_carved,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
crest.bent_moulded_rail,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
capital.metal_assembly,assembly_grammar,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
collar.cut_in_solid_stone,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
ornament.applied_screwed_garland,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
ornament.carved_in_solid_face,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.lion_grotesque_head,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.female_mask,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.leonine_corner_mask,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.winged_sun_disk,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.inlaid_urn,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.inlaid_arcade,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.engraved_filled_line,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.repeated_cell_run,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.claw_and_ball_foot,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
bespoke.paw_foot,bespoke_hero,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
ornament.painted_repeating_row,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.spiral_volute,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.pendant_palmette,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.knee_acanthus_rocaille,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.carved_roundel,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.anthemion_capital,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.husk_laurel_swag,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.dentil_block,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.drilled_dot,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.bolection_field,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.floral_block,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.pierced_rosette_ring,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.acanthus_collar,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.rosette_die_panel,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.beaded_teardrop_lappet,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.heart_lappet,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.glass_cabochon,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.mop_disc_in_bezel,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.carved_rosette_patera,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.flower_chain_run,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.carved_palmette,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
relief.applied_wreath_ring,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.inset_swappable_cell,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.closed_line_outline_master,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.keyhole_cartouche,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.star_scatter_master,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.mop_disc_master,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
inlay.abalone_plaque,component_recipe,RANKABLE,1,1,0,0,0,1.0,1,RANKABLE
pilaster.applied_face_strip,component_recipe,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
pier.midspan_support,component_recipe,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
partition.interior_vertical,component_recipe,AUDIT_ONLY,1,0,1,0,0,0.5,1,NOT_RANKABLE_AUDIT_ONLY
stile.continuity_unresolved,component_recipe,AUDIT_ONLY,1,0,1,0,0,0.5,1,NOT_RANKABLE_AUDIT_ONLY
rail.seat_mitred_box,component_recipe,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
rail.table_frame,component_recipe,AUDIT_ONLY,1,0,1,0,0,0.5,1,NOT_RANKABLE_AUDIT_ONLY
rail.chest_lock_and_lower,component_recipe,AUDIT_ONLY,1,0,1,0,0,0.5,1,NOT_RANKABLE_AUDIT_ONLY
ring.revolved_collar,component_recipe,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
ornament.radial_petal_array,component_recipe,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
bespoke.anthemion_cartouche,bespoke_hero,RANKABLE,1,0,1,0,0,0.5,1,RANKABLE
