lane,family_id,status,weighted_evidence,objects_unlocked,n_proven,n_member_subrows,n_construction_uncertain,construction_confidence,ambiguity_penalty,reuse_class,reuse_multiplier,confidence_factor,ambiguity_factor,breadth_factor,rankability_factor,final_score,rankability,non_construction_uncertainty
component_recipe,muntin.panel_grooved,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,armpost.on_seat_rail_short,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,post.bed_square_fluted,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,rail.straight_visibility_switched,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,cleat.lid_batten,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,panel.floating_wood_in_groove,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,panel.upholstered_field,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,moulding.repeating_cell_run,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,inlay.node_punctuation,RANKABLE,2.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,2.07,RANKABLE,
component_recipe,rail.back_frame,RANKABLE,2.0,1,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,1.8,RANKABLE,
component_recipe,rail.gallery_cap,RANKABLE,2.0,1,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,1.8,RANKABLE,
component_recipe,stile.case_corner_board,RANKABLE,2.5,2,2,3,1,0.6666666666666666,0.3333333333333333,parameterized_recipe,0.9,0.8333333333333333,0.8333333333333334,1.15,1.0,1.7968749999999996,RANKABLE,
component_recipe,inlay.painted_line_path,RANKABLE,2.0,2,2,2,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.15,1.0,1.7249999999999999,RANKABLE,
component_recipe,post.case_corner_structural_joined,RANKABLE,1.5,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,1.5525,RANKABLE,
component_recipe,brace.corner_glue_block,RANKABLE,1.0,2,2,2,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.15,1.0,1.035,RANKABLE,
component_recipe,foot.turned_with_castor_socket,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,foot.disc_pad_separable,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,foot.spun_metal_base,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,muntin.upholstery_tacking,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,armpost.rear_tied_to_back_frame,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,post.back_intermediate,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,post.turned_pivot_gate,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,trestle.splayed_board_standard,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,support.shelf_stick,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,board.plain_back,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.seat_pinned,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.panel_frame_stock,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.plinth,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.back_secondary,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.shared_stock_multi_role,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.upholstery_tacking,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.curved_sawn,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.gallery_spindle_mortised,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,arm.round_reeded_rod,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,rail.gate_swinging,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,locator.case_base_block,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,stay.metal_quadrant_visible,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,plate.pegged_repair,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,crest.laminated_curved,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,collar.cut_in_solid_stone,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,ornament.applied_screwed_garland,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,ornament.carved_in_solid_face,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,inlay.engraved_filled_line,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,inlay.repeated_cell_run,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,ornament.painted_repeating_row,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.spiral_volute,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.pendant_palmette,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.knee_acanthus_rocaille,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.carved_roundel,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.anthemion_capital,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.husk_laurel_swag,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.dentil_block,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.drilled_dot,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.bolection_field,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.floral_block,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.pierced_rosette_ring,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.acanthus_collar,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.rosette_die_panel,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.beaded_teardrop_lappet,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.heart_lappet,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,relief.glass_cabochon,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,relief.mop_disc_in_bezel,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,relief.carved_rosette_patera,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,relief.flower_chain_run,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,relief.carved_palmette,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,inlay.inset_swappable_cell,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,inlay.closed_line_outline_master,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,inlay.keyhole_cartouche,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,
component_recipe,inlay.star_scatter_master,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,inlay.mop_disc_master,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,inlay.abalone_plaque,RANKABLE,1.0,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.9,RANKABLE,quantity=1
component_recipe,rail.frieze,RANKABLE,1.5,2,1,2,1,0.5,0.5,parameterized_recipe,0.9,0.75,0.75,1.15,1.0,0.8732812499999998,RANKABLE,
component_recipe,arm.flat_swept_board,RANKABLE,1.0,1,1,1,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.0,1.0,0.75,RANKABLE,
component_recipe,crest.rolled_carved,RANKABLE,1.0,1,1,1,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.0,1.0,0.75,RANKABLE,
component_recipe,crest.bent_moulded_rail,RANKABLE,1.0,1,1,1,0,1.0,0.0,shared_profile,0.75,1.0,1.0,1.0,1.0,0.75,RANKABLE,
component_recipe,pilaster.applied_face_strip,RANKABLE,0.5,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.45,RANKABLE,
component_recipe,ring.revolved_collar,RANKABLE,0.5,1,1,1,0,1.0,0.0,parameterized_recipe,0.9,1.0,1.0,1.0,1.0,0.45,RANKABLE,quantity=1
component_recipe,relief.applied_wreath_ring,RANKABLE,1.0,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,1.0,0.225,RANKABLE,
component_recipe,pier.midspan_support,RANKABLE,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,1.0,0.1125,RANKABLE,
component_recipe,rail.seat_mitred_box,RANKABLE,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,1.0,0.1125,RANKABLE,
component_recipe,ornament.radial_petal_array,RANKABLE,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,1.0,0.1125,RANKABLE,
component_recipe,foot.turned_interface_unresolved,AUDIT_ONLY,3.5,4,0,4,4,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.45,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,post.carcase_unresolved,AUDIT_ONLY,1.5,2,0,2,2,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.15,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,partition.interior_vertical,AUDIT_ONLY,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,stile.continuity_unresolved,AUDIT_ONLY,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,rail.table_frame,AUDIT_ONLY,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,rail.chest_lock_and_lower,AUDIT_ONLY,0.5,1,0,1,1,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.0,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
component_recipe,rail.multi_purpose_unresolved,AUDIT_ONLY,1.0,2,0,2,2,0.0,1.0,parameterized_recipe,0.9,0.5,0.5,1.15,0.0,0.0,NOT_RANKABLE_AUDIT_ONLY,
assembly_grammar,seatframe.closed_frame_assembly,RANKABLE,5.0,4,4,6,2,0.6666666666666666,0.3333333333333333,assembly_grammar,0.6,0.8333333333333333,0.8333333333333334,1.45,1.0,3.0208333333333326,RANKABLE,
assembly_grammar,frame.stile_rail_muntin_grid,RANKABLE,5.0,6,3,6,3,0.5,0.5,assembly_grammar,0.6,0.75,0.75,1.75,1.0,2.953125,RANKABLE,
assembly_grammar,ornament.placement_system,RANKABLE,3.0,2,3,3,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.15,1.0,2.07,RANKABLE,
assembly_grammar,stile.continuous_curved_arm_back,RANKABLE,2.0,1,2,2,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,1.2,RANKABLE,
assembly_grammar,flyrail.moving_assembly,RANKABLE,2.0,1,2,2,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,1.2,RANKABLE,
assembly_grammar,post.bed_stacked_block,RANKABLE,1.0,1,1,1,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,0.6,RANKABLE,
assembly_grammar,arm.arcaded_assembly,RANKABLE,1.0,1,1,1,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,0.6,RANKABLE,
assembly_grammar,brace.seat_internal_grid,RANKABLE,1.0,1,1,1,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,0.6,RANKABLE,
assembly_grammar,enclosure.rail_and_bracket,RANKABLE,1.0,1,1,1,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,0.6,RANKABLE,
assembly_grammar,capital.metal_assembly,RANKABLE,1.0,1,1,1,0,1.0,0.0,assembly_grammar,0.6,1.0,1.0,1.0,1.0,0.6,RANKABLE,
bespoke_hero,bespoke.lion_grotesque_head,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,
bespoke_hero,bespoke.female_mask,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,view_coverage=1
bespoke_hero,bespoke.leonine_corner_mask,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,view_coverage=1
bespoke_hero,bespoke.inlaid_urn,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,
bespoke_hero,bespoke.inlaid_arcade,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,
bespoke_hero,bespoke.claw_and_ball_foot,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,
bespoke_hero,bespoke.paw_foot,RANKABLE,1.0,1,1,1,0,1.0,0.0,bespoke,0.15,1.0,1.0,1.0,1.0,0.15,RANKABLE,
bespoke_hero,bespoke.winged_sun_disk,RANKABLE,1.0,1,0,1,1,0.0,1.0,bespoke,0.15,0.5,0.5,1.0,1.0,0.0375,RANKABLE,
bespoke_hero,bespoke.anthemion_cartouche,RANKABLE,0.5,1,0,1,1,0.0,1.0,bespoke,0.15,0.5,0.5,1.0,1.0,0.01875,RANKABLE,
