component,n_objects,dominant_reuse_class,evidence_mix,variation_axes_observed
padding mass,6,parameterized recipe reuse,PARTIALLY VISIBLE:4; VISIBLE:1; INFERRED FROM TYPE:1,"depth, height, panel, profile, radius, thickness"
strap/band,5,exact accepted donor reuse,VISIBLE:3; INFERRED FROM TYPE:1; PARTIALLY VISIBLE:1,"angle, count, depth, length, panel, spacing, width"
side board,5,parameterized recipe reuse,VISIBLE:2; PARTIALLY VISIBLE:2; NOT DETERMINABLE:1,"count, height, length, panel, profile, spacing, thickness, width"
wedge/key,5,exact accepted donor reuse,INFERRED FROM TYPE:2; VISIBLE:2; PARTIALLY VISIBLE:1,"angle, count, diameter, taper"
castor,4,exact accepted donor reuse,VISIBLE:3; NOT DETERMINABLE:1,"angle, depth, diameter"
stretcher,4,genuinely bespoke component,VISIBLE:5,"count, density, height, length"
lattice bridge,3,parameterized recipe reuse,VISIBLE:3,"count, density, diameter, height, spacing"
textile support,3,parameterized recipe reuse,VISIBLE:1; NOT DETERMINABLE:1; PARTIALLY VISIBLE:1,"angle, count, density, height, scale, width"
lid,3,parameterized recipe reuse,VISIBLE:4,"angle, count, depth, profile, thickness, width"
door leaf,3,assembly-grammar reuse,VISIBLE:3,"count, panel, width"
latch,3,exact accepted donor reuse,VISIBLE:2; PARTIALLY VISIBLE:1,"count, length, taper"
lattice upright,2,parameterized recipe reuse,VISIBLE:2,"count, depth, panel, spacing, thickness, width"
gallery,2,assembly-grammar reuse,VISIBLE:2,"count, length, panel, width"
