slot,candidate_id,gate,gate_failures,museum,accession,url,museum_title,source_object_name,maker,date,culture,medium,dimensions_published,measurement_class,credit_line,rights,view_count,verification
06_chest_drawers,FC-06-69_146_2,PASS,,Metropolitan Museum of Art,69.146.2,https://www.metmuseum.org/art/collection/search/2021,Chest of Drawers,Chest of drawers,Herter Brothers,ca. 1880,American,"Cherry, poplar, cedar",31 3/8 x 52 7/8 x 23 3/4 in. (79.7 x 134.3 x 60.3 cm),PUBLISHED,"Gift of Paul Martini, 1969",Public Domain / CC0 (Met Open Access),5,API re-verified in this session
06_chest_drawers,FC-06-27_57_1,PASS,,Metropolitan Museum of Art,27.57.1,https://www.metmuseum.org/art/collection/search/2022,Chest of drawers,Chest of drawers,John Townsend,1765,American,"Mahogany, tulip poplar, pine, chestnut",34 1/2 x 37 1/2 x 20 3/4 in. (87.6 x 95.3 x 52.7 cm),PUBLISHED,"Rogers Fund, 1927",Public Domain / CC0 (Met Open Access),13,API re-verified in this session
07_sideboard,FC-07-1999_79,PASS,,Metropolitan Museum of Art,1999.79,https://www.metmuseum.org/art/collection/search/16576,Cabinet,Cabinet,Herter Brothers,ca. 1883,American,"Maple, with painted and gilded surface, bevelled glass, silk velvet, brass",64 1/2 x 71 x 14 1/2 in. (163.8 x 180.3 x 36.8 cm),PUBLISHED,"Purchase, Robert L. and Ann R. Fromer Gift and Margot Johnson, Inc. Gift, in honor of the 75th anniversary of The American Wing, 1999",Public Domain / CC0 (Met Open Access),10,API re-verified in this session
07_sideboard,FC-07-76_63a-f,PASS (page-verified),,Brooklyn Museum,76.63a-f,https://www.brooklynmuseum.org/opencollection/objects/1557,Cabinet,"Cabinet (sideboard-form credenza). Classification field: ""Furniture"".","Herter Brothers — record field ""Maker"": ""Herter Brothers""; caption line: ""Herter Brothers (American, 1864–1906).""",ca. 1872,"NOT STATED as a ""Culture"" field. Record field ""Geography"": ""Place made: New York, New York, United States"". Collection: ""Decorative Arts and Design""; Classification: ""Furniture"".","Ebonized cherry, other woods, glass, brass, pigment",42 3/8 x 66 x 16 3/4in. (107.6 x 167.6 x 42.5cm),PUBLISHED,NOT STATED,"Object record fields returned verbatim: ""copyright"": null, ""copyrightRestricted"": null, ""rightsType"": ""Creative Commons 3D"". Image credit line on the page: ""(Photo: Brooklyn Museum)""; each image is captioned ""Brooklyn Museum photograph"" and the page offers a ""Download image"" control. Brooklyn Museum Terms of use §9.2, quoted verbatim: ""Use of text and images in which Brooklyn Museum holds the copyright is permitted, with attribution, under the terms and conditions of a Creative Commons License: CC BY-NC-SA ."" NOTE: I checked a second Brooklyn object (116723) and it carries the identical ""rightsType"": ""Creative Commons 3D"" value, so that field looks like a site default rather than an object-specific statement — the operative statement is the CC BY-NC-SA terms clause. This is NOT CC0.",7,PAGE-VERIFIED ONLY - no open API; view count counted by eye
08_wardrobe,FC-08-69_140ab,PASS,,Metropolitan Museum of Art,"69.140a, b",https://www.metmuseum.org/art/collection/search/9724,Wardrobe,Wardrobe,Herter Brothers,1875–1883,American,Cherry,78 1/2 x 49 1/2 x 26 in. (199.4 x 125.7 x 66 cm),PUBLISHED,"Gift of Kenneth O. Smith, 1969",Public Domain / CC0 (Met Open Access),10,API re-verified in this session
08_wardrobe,FC-08-2019_59,PASS,,Cleveland Museum of Art,2019.59,https://clevelandart.org/art/2019.59,Kast,Furniture and woodwork,NOT STATED,c. 1710–1740,"American, King County, NY","Various woods, wrought iron",196.8 x 184.2 x 69.8 cm (77 1/2 x 72 1/2 x 27 1/2 in.),PUBLISHED,"Gift of Suzanne Elmendorf Danco Doggett and Walter Ten Eyck Danco on behalf of the Elmendorf, Ten Eyck and Danco family",CC0,18,API re-verified in this session
09_bedstead,FC-09-69_146_1,PASS,,Metropolitan Museum of Art,69.146.1,https://www.metmuseum.org/art/collection/search/443,Bedstead,Bedstead,Herter Brothers,ca. 1880,American,Cherry,118 x 69 1/2 x 89 1/2 in. (299.7 x 176.5 x 227.3 cm),PUBLISHED,"Gift of Paul Martini, 1969",Public Domain / CC0 (Met Open Access),5,API re-verified in this session
09_bedstead,FC-09-1954_151,PASS,,Cleveland Museum of Art,1954.151,https://clevelandart.org/art/1954.151,Bed,Furniture and woodwork,"Georges Jacob (French, 1739–1814)",1700s,"France, 18th century",gilded wood and embroidered satin,Overall: 213.4 cm (84 in.); Part 1: 163.2 x 147.3 cm (64 1/4 x 58 in.); Part 2: 132.7 x 147.3 cm (52 1/4 x 58 in.),PUBLISHED,John L. Severance Fund,CC0,22,API re-verified in this session
10_chest,FC-10-1971_281,PASS,,Cleveland Museum of Art,1971.281,https://clevelandart.org/art/1971.281,Chest,Furniture and woodwork,NOT STATED,c. 1490–1520,"England, late 15th - early 16th centuries",oak,Overall: 69.6 x 127 x 41 cm (27 3/8 x 50 x 16 1/8 in.),PUBLISHED,Gift of Dr. and Mrs. Paul G. Ecker in memory of Dr. and Mrs. Enrique E. Ecker,CC0,4,API re-verified in this session
10_chest,FC-10-1984_161,PASS,,Cleveland Museum of Art,1984.161,https://clevelandart.org/art/1984.161,Chest,Furniture and woodwork,NOT STATED,c. 1700,"America, Massachusetts, perhaps Salem, 18th century",oak and pine,Overall: 77.5 x 115.3 x 53.7 cm (30 1/2 x 45 3/8 x 21 1/8 in.),PUBLISHED,Purchase from the J. H. Wade Fund,CC0,3,API re-verified in this session
11_long_table,FC-11-10_125_133,PASS,,Metropolitan Museum of Art,10.125.133,https://www.metmuseum.org/art/collection/search/3911,Oval table with falling leaves,Table,American,1715–40,American,"Soft maple, white pine",28 1/2 x 57 1/2 x 48 1/4 in. (72.4 x 146.1 x 122.6 cm),PUBLISHED,"Gift of Mrs. Russell Sage, 1909",Public Domain / CC0 (Met Open Access),7,API re-verified in this session
11_long_table,FC-11-236:12-1869,PASS (page-verified),,Victoria and Albert Museum,"236:1, 2-1869",https://collections.vam.ac.uk/item/O109565/table-unknown/,"Table (V&A objectType: ""Table""; briefDescription: ""Table, Italian, 1500-1540"")",Folding X-trestle table — a pair of hinged leaves that lift off a folding X-trestle whose two halves are tied by iron chains,"Unknown (V&A artistMakerPerson: ""Unknown"")","Production date as recorded: ""1500-1550"" (earliest 1500-01-01, latest 1550-12-31). Note the V&A's own briefDescription line says ""Table, Italian, 1500-1540"" — the two differ in the source and both are reproduced here unaltered.",Place of origin: Italy (association: made),"Walnut with boxwood, rosewood and bone inlay, the trestle support with iron chains","Length 154.3 cm (part: top open); Depth 92 cm (part: top open); Thickness 1.9 cm (part: top open); Height 80-100 cm (part: of trestle, adjustable); Width 73.5 cm (part: of trestle, with height at 85cm); Depth 84.5 cm (part: of trestle). Values, units and part-qualifiers exactly as returned by the V&A object record; the V&A publishes no single combined overall line.",PUBLISHED,NOT STATED,"""© Victoria and Albert Museum, London"" — the copyright string carried on every one of the 7 image assets in the record (asset 2017JY1432 gives it without the space: ""©Victoria and Albert Museum, London""). STATED, and therefore satisfies the literal admission gate, but NOT open access and NOT CC0. museum_api.gate() applied to a record like this would flag ""image rights not open access (supplementary use only)"". Treat as reference-only: study the images, do not redistribute them.",7,PAGE-VERIFIED ONLY - no open API; view count counted by eye
12_console,FC-12-2002_298_1,PASS,,Metropolitan Museum of Art,2002.298.1,https://www.metmuseum.org/art/collection/search/17440,Pedestal from the drawing room of the William H. Vanderbilt House,Pedestal,Herter Brothers,1879–82,American,"Egyptian alabaster, gilt brass, and reproduction red glass jewels",64 1/4 x 10 15/16 x 10 15/16 in. (163.2 x 27.8 x 27.8 cm),PUBLISHED,"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 2002",Public Domain / CC0 (Met Open Access),8,API re-verified in this session
12_console,FC-12-2002_298_2,PASS,,Metropolitan Museum of Art,2002.298.2,https://www.metmuseum.org/art/collection/search/18560,Pedestal from the drawing room of the William H. Vanderbilt House,Pedestal,Herter Brothers,1879–82,American,"Egyptian alabaster, gilt brass, and reproduction red glass jewels",64 1/4 x 10 15/16 x 10 15/16 in. (163.2 x 27.8 x 27.8 cm),PUBLISHED,"Purchase, Barrie A. and Deedee Wigmore Foundation Gift, 2002",Public Domain / CC0 (Met Open Access),8,API re-verified in this session
