bom_row_id,candidate_id,building,element,value,unit,value_m,datum,evidence_class,uncertainty_type,verified_full_res,source_id,leaf_ref,quote
B010,BC-01A-kensworth,"Kensworth manor house — bower (thalamus, women's apartment)",internal length,22 ft,ft,6.706,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B011,BC-01A-kensworth,"Kensworth manor house — bower (thalamus, women's apartment)",internal breadth,16 ft,ft,4.877,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B012,BC-01A-kensworth,"Kensworth manor house — bower (thalamus, women's apartment)","height, floor to ridge-tree",18 ft,ft,5.486,"height, floor to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B013,BC-01A-kensworth,"Kensworth manor house — bower (thalamus, women's apartment)","height, floor to tie-beams",9 ft,ft,2.743,"height, floor to tie-beams",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B014,BC-01A-kensworth,"Kensworth manor house — bower (thalamus, women's apartment)","height, tie-beams to ridge-tree",9 ft,ft,2.743,"height, tie-beams to ridge-tree",documentary-survey,,yes,addy1898,n164 (printed 130),"consisted of a hall 35 feet long, 30 feet broad, and 22 feet high, viz., 11 feet to the tie-beams, and 11 feet from the tie-beams to the ridge-tree. ... The ""house"" was 12 feet long and 17 feet broad; it was 17 feet high, viz, 10 feet to the tie-beams, and 7 feet from the tie-beams to the ridge-tree. The bower was 22 feet long and 16 broad; it was 18 feet high, viz., 9 feet to the tie-beams, and 9 feet from the tie-beams to the ridge-tree. [Latin: Halla hujus manerii habet xxxv. pedes in longitud', xxx. ped' in latitud', et xxii. in altit', xi. sub trabibus. et xi. desuper. Domus, que est inter hallam et talamum, habet xii. pedes in longitud', xvii. in latit' et xvii. in altitudine, x. sub trabibus et vii. de'super. Thalamus habet xxii. pedes in longit', xvi. in latitud', xviii. in altitud', ix. sub trabibus et ix. desuper. — Domesday of St. Paul's, p. 129]"
B015,BC-01A-kensworth,Kensworth manor house — ox-house,internal length,33 ft,ft,10.058,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high."
B016,BC-01A-kensworth,Kensworth manor house — ox-house,internal breadth,12 ft,ft,3.658,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high."
B017,BC-01A-kensworth,Kensworth manor house — ox-house,height,13 ft,ft,3.962,unstated,documentary-survey,,yes,addy1898,n164 (printed 130),"Besides these rooms there was an ox-house 33 feet long, 12 feet broad, and 13 feet high."
B018,BC-01A-kensworth,Kensworth manor house — sheep-cote,internal length,39 ft,ft,11.887,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B019,BC-01A-kensworth,Kensworth manor house — sheep-cote,internal breadth,12 ft,ft,3.658,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B020,BC-01A-kensworth,Kensworth manor house — sheep-cote,height,22 ft,ft,6.706,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B021,BC-01A-kensworth,Kensworth manor house — lamb-cote,internal length,24 ft,ft,7.315,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B022,BC-01A-kensworth,Kensworth manor house — lamb-cote,internal breadth,12 ft,ft,3.658,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B023,BC-01A-kensworth,Kensworth manor house — lamb-cote,height,12 ft,ft,3.658,unstated,documentary-survey,,no,addy1898,n165 (printed 131),"also a sheep-cote, 39 feet long, 12 feet broad, and 22 feet high, with a lamb-cote, 24 feet long, 12 feet broad, and 12 feet high."
B024,BC-03A-walton,Walton manor house — great barn,internal length,168 ft,ft (= 10 1/2 perches of 16 ft),51.206,unstated,documentary-survey,,yes,addy1898,n166 (printed 132),"the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]"
B025,BC-03A-walton,Walton manor house — great barn,internal breadth,53 ft,ft (= 3 perches + 5 ft),16.154,unstated,documentary-survey,,yes,addy1898,n166 (printed 132),"the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]"
B026,BC-03A-walton,Walton manor house — great barn,"height, floor to ridge-tree",33 ft 6 in,ft in,10.211,"height, floor to ridge-tree",documentary-survey,,yes,addy1898,n166 (printed 132),"the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]"
B027,BC-03A-walton,Walton manor house — great barn,"height, floor to tie-beams",21 ft 6 in,ft in,6.553,"height, floor to tie-beams",documentary-survey,,yes,addy1898,n166 (printed 132),"the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]"
B028,BC-03A-walton,Walton manor house — great barn,"height, tie-beams to ridge-tree",12 ft,ft,3.658,"height, tie-beams to ridge-tree",documentary-survey,,yes,addy1898,n166 (printed 132),"the great barn of the manor house at Walton was 168 feet long, 53 feet wide, and 33 1/2 feet high, viz., 21 1/2 feet to the tie-beams, and 12 feet from them to the ridge-tree. [Latin: Magnum orreum Walentonie habet x. perticas et dimid' in longitudine (et pertica est de xvi. pedibus) et in latitudine iii. perticas et v. pedes, et in altitudine sub trabe xxi. ped' et dimid', et desursum trabe xii. ped'. — Domesday of St. Paul's, p. 130]"
B029,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),internal length,165 ft,ft,50.292,unstated,measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B030,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),internal breadth,43 ft,ft,13.106,unstated,measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B031,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"height, floor to ridge-tree",30 ft,ft,9.144,"height, floor to ridge-tree",measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B032,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"height, floor to tie-beams",15 ft,ft,4.572,"height, floor to tie-beams",measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B033,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"height, tie-beams to ridge-tree",15 ft,ft,4.572,"height, tie-beams to ridge-tree",measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B034,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),structural bay length,15 ft,ft,4.572,unstated,measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B035,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"arcade pillar section, larger face",14 in,in,0.356,unstated,measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B036,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"arcade pillar section, smaller face",9 in,in,0.229,unstated,measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B037,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),"tie-beam length, pillar to pillar (aisle-post spacing across)",23 ft,ft,7.010,"tie-beam length, pillar to pillar (aisle-post spacing across)",measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B038,BC-00-gunthwaite,Gunthwaite Hall barn — aisled timber barn (nave + two aisles),stonework infill height in timber frame (plinth),8 ft 9 in,ft in,2.667,stonework infill height in timber frame (plinth),measured,,yes,addy1898,n166 (printed 132),"A large barn with a nave and two aisles adjoining Gunthwaite Hall, near Penistone, still remains. It is 165 feet long, 43 feet broad, and 30 feet high, viz., 15 feet to the tie-beams, and 15 feet from them to the ridge-tree. It consists of 11 bays of 15 feet each in length. It has two rows of wooden pillars, each measuring 14 inches by 9, and standing on stone pedestals. The length of the tie-beams from one pillar to another is 23 feet. The roof is in a single span extending across the whole breadth. The building is of timber framework filled up with stonework to the height of 8 ft 9 in. There are six barn doors."
B039,RESERVE-cholsey,Cholsey barn (demolished),internal length,303 ft,ft,92.354,unstated,secondary,,no,addy1898,n166 (printed 132),"There was formerly a barn at Cholsey, in Berkshire, 303 feet long and 51 feet high. The pillars were four yards in circumference. — Parker's Glossary of Arch., 1850, p. 241 [FLAG: '51 feet high' is what Addy prints; the usual published figure for Cholsey is a WIDTH of about 54 ft, so this may be Parker's or Addy's slip for 'wide'. Recorded as printed, not corrected.]"
